Bureau of Justice Statistics,,,,,
Filename: cv22at11.csv,,,,,
"Appendix table 11. Standard errors for table 10: Firearm violence, 2021 and 2022",,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 9/14/2023,,,,,
,,,,,
"Appendix table 11. Standard errors for table 10: Firearm violence, 2021 and 2022",,,,,
,,2021,,2022,
,Total violent victimizations,"204,884",,"253,599",
Firearm victimizations,,,,,
,Number,"40,095",,"72,031",
,Percent,0.84,%,1.04,%
,Rate,0.14,,0.26,
Firearm victimizations reported to police,,,,,
,Number,"33,989",,"56,779",
,Percent,4.35,%,5.27,%
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,
