Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cv22at15.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 15. Estimates and standard errors for figure 2: Percent of persons age 12 or older who were victims of violent crime and violent crime excluding simple assault, 1993–2022",,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2022",,,,,,,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 15. Estimates and standard errors for figure 2: Percent of persons age 12 or older who were victims of violent crime and violent crime excluding simple assault, 1993–2022",,,,,,,,,,,,,,,,,,,,
,Total violent crime,,,,,,,,,,Violent crime excluding simple assault,,,,,,,,,
,,,Percent of persons,,,,,,,,,,Percent of persons,,,,,,,
,Number of victims,,,,,,95% confidence interval,,,,Number of victims,,,,,,95% confidence interval,,,
Year,Estimate,Standard error,Estimate,,Standard error,,Lower bound,,Upper bound,,Estimate,Standard error,Estimate,,Standard error,,Lower bound,,Upper bound,
1993,"6,179,940","86,686",2.93,%,0.038,%,2.856,%,3.004,%,"2,654,090","50,781",1.26,%,0.023,%,1.213,%,1.304,%
1994,"6,990,270","182,244",3.28,,0.075,,3.133,,3.427,,"2,965,900","90,291",1.39,,0.04,,1.313,,1.47,
1995,"6,446,770","163,323",3,,0.064,,2.871,,3.123,,"2,514,400","83,061",1.17,,0.036,,1.099,,1.239,
1996,"5,889,910","150,960",2.71,,0.059,,2.596,,2.827,,"2,278,270","82,498",1.05,,0.035,,0.979,,1.118,
1997,"5,820,310","219,722",2.65,,0.078,,2.494,,2.801,,"2,306,400","100,289",1.05,,0.04,,0.97,,1.128,
1998,"5,429,610","204,271",2.45,,0.082,,2.286,,2.608,,"2,022,980","104,805",0.91,,0.043,,0.827,,0.997,
1999,"4,744,180","161,025",2.11,,0.072,,1.972,,2.253,,"1,821,830","70,205",0.81,,0.032,,0.749,,0.873,
2000,"4,263,640","173,859",1.88,,0.071,,1.741,,2.019,,"1,622,850","82,634",0.72,,0.035,,0.648,,0.783,
2001,"3,899,760","163,080",1.7,,0.06,,1.584,,1.819,,"1,448,910","76,785",0.63,,0.032,,0.569,,0.696,
2002,"3,593,690","145,715",1.55,,0.055,,1.445,,1.659,,"1,222,940","61,350",0.53,,0.025,,0.479,,0.577,
2003,"3,537,510","139,425",1.48,,0.049,,1.382,,1.575,,"1,277,400","67,957",0.53,,0.025,,0.484,,0.583,
2004,"3,478,620","157,411",1.44,,0.057,,1.328,,1.551,,"1,276,560","77,171",0.53,,0.031,,0.468,,0.588,
2005,"3,350,630","153,848",1.37,,0.052,,1.268,,1.473,,"1,238,410","70,482",0.51,,0.027,,0.453,,0.56,
2006,--,--,--,,--,,--,,--,,--,--,--,,--,,--,,--,
2007,"3,308,010","128,862",1.32,,0.051,,1.222,,1.42,,"1,210,660","69,266",0.48,,0.028,,0.428,,0.539,
2008,"3,298,910","119,940",1.31,,0.045,,1.219,,1.396,,"1,210,980","64,122",0.48,,0.026,,0.429,,0.531,
2009,"2,978,170","124,579",1.17,,0.046,,1.083,,1.261,,"1,107,630","63,144",0.44,,0.024,,0.389,,0.483,
2010,"2,753,160","128,035",1.08,,0.049,,0.98,,1.172,,"1,094,280","74,952",0.43,,0.029,,0.371,,0.484,
2011,"3,089,720","129,545",1.2,,0.045,,1.112,,1.287,,"1,205,460","60,858",0.47,,0.022,,0.425,,0.511,
2012,"3,575,900","130,914",1.36,,0.047,,1.274,,1.456,,"1,271,770","74,512",0.49,,0.027,,0.432,,0.539,
2013,"3,041,170","109,612",1.15,,0.04,,1.072,,1.229,,"1,145,350","56,413",0.43,,0.021,,0.393,,0.474,
2014,"2,948,540","112,590",1.11,,0.042,,1.024,,1.188,,"1,235,290","66,223",0.46,,0.025,,0.415,,0.512,
2015,"2,650,670","115,649",0.98,,0.041,,0.902,,1.065,,"1,099,400","60,817",0.41,,0.023,,0.363,,0.452,
2016,"2,882,320","98,610",1.06,,0.036,,0.988,,1.13,,"1,123,190","59,666",0.41,,0.022,,0.37,,0.456,
2017,"3,106,340","105,403",1.14,,0.038,,1.065,,1.215,,"1,225,800","57,738",0.45,,0.021,,0.409,,0.491,
2018,"3,254,250","106,453",1.18,,0.037,,1.11,,1.254,,"1,367,270","65,626",0.5,,0.023,,0.451,,0.542,
2019,"3,059,060","101,966",1.1,,0.036,,1.034,,1.175,,"1,216,400","59,953",0.44,,0.021,,0.398,,0.481,
2020,"2,599,620","108,881",0.93,,0.04,,0.856,,1.013,,"1,026,020","66,478",0.37,,0.024,,0.321,,0.416,
2021,"2,734,700","97,722",0.98,,0.035,,0.911,,1.048,,"1,113,930","61,018",0.4,,0.022,,0.356,,0.442,
2022,"3,511,870","127,339",1.24,,0.042,,1.161,,1.327,,"1,531,360","74,863",0.54,,0.026,,0.492,,0.593,
"--Estimates for 2006 should not be compared to other years. See Criminal Victimization, 2007 (NCJ 224390, BJS, December 2008) for information on changes to the 2006 National Crime Victimization Survey. ",,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2022.",,,,,,,,,,,,,,,,,,,,
