Bureau of Justice Statistics,,,,,,,,,,
Filename: cv22t13.csv,,,,,,,,,,
"Table 13. Number of violent incidents, by race or Hispanic origin of victims and offenders, 2022",,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022",,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,
,,,,,,,,,,
"Table 13. Number of violent incidents, by race or Hispanic origin of victims and offenders, 2022",,,,,,,,,,
,,Offender race/Hispanic origin,,,,,,,,
Victim race/Hispanic origin/a,Total violent incidents,White/b*,Black/b,,Hispanic/c,,"Other/b,d",,Unknown/e,
White/b,"3,858,410","2,148,030","543,480",†,"262,060",†,"224,610",†,"680,230",†
Black/b,"720,900","96,550","433,290",†,"46,100",†,"25,440",!,"119,520",
Hispanic,"1,073,070","245,250","164,250",‡,"331,930",,"82,040",†,"249,600",
"Other/b,d","577,770","197,940","142,280",,"54,330",!,"63,990",†,"119,240",
Note: Details may not sum to totals due to rounding. An incident is a specific criminal act involving one or more victims. Offender race or Hispanic origin is based on victims’ perceptions of offenders. Includes violent incidents in which offender race or Hispanic origin was reported. See appendix table 14 for standard errors.,,,,,,,,,,
*Comparison group.,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,
‡Difference with comparison group is significant at the 90% confidence level.,,,,,,,,,,
"! Interpret data with caution. Estimate is based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,
"a/Some victim categories are not shown due to small numbers of sample cases. Of the 6,230,150 violent incidents in 2022, a total of 577,780 involved victims who identified as Asian only, Native Hawaiian or Other Pacific Islander only, American Indian or Alaska Native only, or two or more races.",,,,,,,,,,
"b/Excludes persons who identified or were perceived as being of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,
"c/Includes single offenders perceived to be of Hispanic origin and multiple-offender groups in which all offenders were perceived as Hispanic. In previous publications, if the victim perceived any of the offenders in a multiple-offender incident as Hispanic, the offenders were classified as Hispanic.",,,,,,,,,,
"d/Includes persons who identified or were perceived as Asian only, Native Hawaiian or Other Pacific Islander only, American Indian or Alaska Native only, or two or more races; and persons in multiple-offender incidents perceived as various races, including incidents in which one or more offenders were perceived as Hispanic and as two or more races. Categories are not shown separately due to small numbers of sample cases.",,,,,,,,,,
e/Includes persons whose race or Hispanic origin was unknown to the victim.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022.",,,,,,,,,,
