Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: cv22t14.csv,,,,,,,,,,,,,,,,,,,,,
"Table 14. Number and percent of persons who were victims of violent crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018-2022",,,,,,,,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 14. Number and percent of persons who were victims of violent crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,,
,,,Number of victims/a,,,,,,,,,Percent of persons/b,,,,,,,,,
Type of violent crime,,,2018,,2019,,2020,,2021,,2022*,2018,,2019,,2020,,2021,,2022*,
Total violent crime/c,,,"3,254,250",,"3,059,060",†,"2,599,620",†,"2,734,700",†,"3,511,870",1.18,%,1.1,% †,0.93,% †,0.98,% †,1.24,%
,Rape/sexual assault/d,,"347,090",,"212,230",†,"192,820",†,"203,590",†,"318,920",0.13,,0.08,†,0.07,†,0.07,†,0.11,
,Robbery,,"363,210",,"337,720",,"306,410",,"328,320",,"389,240",0.13,,0.12,,0.11,,0.12,,0.14,
,Assault,,"2,668,820",‡,"2,586,170",†,"2,176,320",†,"2,276,090",†,"2,909,980",0.97,,0.93,‡,0.78,†,0.82,†,1.03,
,,Aggravated assault,"694,260",†,"697,190",†,"556,010",†,"601,450",†,"867,350",0.25,†,0.25,†,0.2,†,0.22,†,0.31,
,,Simple assault,"2,058,870",,"1,965,410",,"1,685,000",†,"1,746,930",†,"2,130,040",0.75,,0.71,,0.61,†,0.63,†,0.75,
Violent crime excluding simple assault/e,,,"1,367,270",‡,"1,216,400",†,"1,026,020",†,"1,113,930",†,"1,531,360",0.5,%,0.44,% †,0.37,% †,0.4,% †,0.54,%
Selected characteristics of violent crime/f,,,,,,,,,,,,,,,,,,,,,
,Domestic violence/g,,"636,540",,"521,870",,"454,330",†,"480,090",†,"598,490",0.23,%,0.19,%,0.16,% †,0.17,% †,0.21,%
,,Intimate partner violence/h,"368,980",,"310,320",,"253,170",†,"257,860",†,"348,110",0.13,,0.11,,0.09,†,0.09,†,0.12,
,Stranger violence,,"1,411,500",†,"1,393,650",†,"1,243,930",†,"1,380,450",†,"1,778,380",0.51,†,0.5,†,0.45,†,0.49,†,0.63,
,Violent crime with an injury,,"841,280",,"735,430",,"667,230",,"636,030",‡,"754,970",0.31,,0.27,,0.24,,0.23,‡,0.27,
,Violent crime with a weapon,,"838,630",‡,"788,920",†,"651,000",†,"701,820",†,"974,030",0.3,,0.28,†,0.23,†,0.25,†,0.35,
Note: Details may not sum to totals because a person may experience multiple types of crime. See appendix table 16 for standard errors.,,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,
‡Difference with comparison year is significant at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,
a/Number of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,,,,,,,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one violent victimization during the year. See appendix table 19 for person populations.,,,,,,,,,,,,,,,,,,,,,
c/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims.,,,,,,,,,,,,,,,,,,,,,
d/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,,,,,,,,,,,,,,,,
"e/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,,,,,,,,,
f/Violent crime categories such as domestic violence and violent crime with an injury are not mutually exclusive from other violent crime categories or other selected characteristics.,,,,,,,,,,,,,,,,,,,,,
g/Includes the subset of violent victimizations that were committed by current or former intimate partners or family members.,,,,,,,,,,,,,,,,,,,,,
"h/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022.",,,,,,,,,,,,,,,,,,,,,
