Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cv22t16.csv,,,,,,,,,,,,,,,,,,,,
"Table 16. Number and percent of households that experienced property crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022",,,,,,,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 16. Number and percent of households that experienced property crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,
,,Number of households victimized/a,,,,,,,,,Percent of households victimized/b,,,,,,,,,
Type of property crime,,2018,,2019,,2020,,2021,,2022*,2018,,2019,,2020,,2021,,2022*,
,Total property crime,"9,080,490",,"8,545,770",,"7,915,500",†,"8,087,070",†,"8,725,370",7.27,% †,6.76,%,6.19,% †,6.25,% †,6.65,%
Burglary/trespassing/c,,"1,851,420",†,"1,537,190",†,"1,239,860",,"1,266,590",,"1,274,530",1.48,% †,1.22,% †,0.97,%,0.98,%,0.97,%
,Burglary/d,"1,333,600",†,"1,040,730",†,"860,860",,"833,280",,"878,540",1.07,†,0.82,†,0.67,,0.64,,0.67,
,Trespassing/e,"585,190",†,"530,440",†,"404,210",,"470,130",,"422,510",0.47,†,0.42,†,0.32,,0.36,,0.32,
Motor vehicle theft,,"424,360",†,"411,140",†,"413,880",†,"486,440",†,"590,320",0.34,% †,0.33,% †,0.32,% †,0.38,% †,0.45,%
Other theft/f,,"7,261,840",,"6,991,800",,"6,611,210",†,"6,689,220",†,"7,258,920",5.82,% ‡,5.53,%,5.17,% †,5.17,% †,5.53,%
Note: Details may not sum to totals because a household may experience multiple types of crime. See appendix table 18 for standard errors. ,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,
‡Difference with comparison year is significant at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,
a/Number of households that experienced at least one property victimization during the year.,,,,,,,,,,,,,,,,,,,,
b/Percentage of households that experienced at least one property victimization during the year. See appendix table 20 for household populations.,,,,,,,,,,,,,,,,,,,,
"c/Includes unlawful or forcible entry or attempted entry of places, including a permanent residence, other residence (e.g., a hotel room or vacation residence), or other structure (e.g., a garage or shed). Includes victimizations where the offender stole, attempted to steal, or did not attempt to steal. Excludes trespassing on land.",,,,,,,,,,,,,,,,,,,,
d/Includes only crimes where the offender committed or attempted a theft. ,,,,,,,,,,,,,,,,,,,,
e/Includes crimes where the offender did not commit or attempt a theft. Excludes trespassing on land.,,,,,,,,,,,,,,,,,,,,
f/Includes other unlawful taking or attempted unlawful taking of property or cash without personal contact with the victim.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022.",,,,,,,,,,,,,,,,,,,,
