"month","assault","controlled_substance_possession","controlled_substance_sale","larceny","marijuana_possession","marijuana_sale","motor_vehicle_theft","murder","robbery"
"01.01.2006",3109,2521,2165,1004,2629,412,123,90,1072
"01.02.2006",2772,2312,1999,889,2538,391,55,56,890
"01.03.2006",3563,2676,2215,1086,2896,454,90,74,1081
"01.04.2006",3357,2507,2140,1022,2962,425,123,84,838
"01.05.2006",3550,2592,2076,1139,3102,512,111,74,1063
"01.06.2006",3612,2300,1911,1077,2926,427,112,79,1143
"01.07.2006",3556,2432,1909,1076,3065,424,112,81,979
"01.08.2006",3375,2766,2169,1042,3569,533,127,81,961
"01.09.2006",3232,2667,2031,968,3049,486,142,87,967
"01.10.2006",3303,2808,2441,1152,2985,442,123,103,1214
"01.11.2006",3038,2666,2163,1050,2644,453,123,90,1012
"01.12.2006",2874,2522,1808,1081,2430,429,74,78,1029
"01.01.2007",3478,3630,2851,1196,3769,613,122,97,1095
"01.02.2007",3043,2808,2225,952,3110,519,80,66,817
"01.03.2007",3666,2819,2244,1030,3439,511,78,89,950
"01.04.2007",3484,2829,2023,1036,3421,528,112,62,917
"01.05.2007",4009,2954,2357,1232,3811,632,100,79,1079
"01.06.2007",3688,2467,2121,1157,3460,631,91,88,1030
"01.07.2007",3594,2722,2149,1109,3596,634,132,80,895
"01.08.2007",3710,3008,2456,1172,4269,651,116,86,1094
"01.09.2007",3617,2689,2050,1148,3883,511,121,88,1072
"01.10.2007",3666,2925,2341,1307,3850,538,123,88,1236
"01.11.2007",3234,2702,2127,1242,3174,434,105,87,1035
"01.12.2007",3007,2190,1607,1040,2536,381,71,58,901
"01.01.2008",3588,3223,2314,1383,3817,510,115,89,1120
"01.02.2008",3124,2924,2129,1130,3347,449,75,78,935
"01.03.2008",3645,3038,2252,1244,3630,466,66,82,926
"01.04.2008",3652,2898,2041,1321,3654,486,65,74,1102
"01.05.2008",3863,3081,2046,1309,3632,609,84,81,1083
"01.06.2008",3748,2655,1957,1345,3595,453,93,118,1204
"01.07.2008",3754,2592,1763,1284,3696,485,107,101,1055
"01.08.2008",3526,2639,1877,1252,4024,543,104,106,1141
"01.09.2008",3491,2435,1911,1387,3541,474,106,94,1167
"01.10.2008",3410,2868,2384,1480,4035,531,144,121,1236
"01.11.2008",3155,2327,1813,1287,3332,459,85,77,1054
"01.12.2008",3010,2053,1399,1215,2839,369,60,85,1015
"01.01.2009",3454,2657,2139,1328,4013,440,109,71,1166
"01.02.2009",3102,2635,1807,1241,4034,449,80,73,853
"01.03.2009",3736,2609,2041,1292,4107,436,85,79,1013
"01.04.2009",3508,2622,1886,1290,4338,477,93,62,900
"01.05.2009",3959,2646,1912,1363,4558,438,77,65,940
"01.06.2009",3792,2250,1718,1359,4185,387,89,87,1006
"01.07.2009",3764,2442,1820,1248,4348,455,100,66,955
"01.08.2009",3985,2436,1804,1229,4553,467,100,80,963
"01.09.2009",3382,2231,1601,1342,4276,510,70,79,974
"01.10.2009",3686,2624,1798,1283,4279,547,92,59,1036
"01.11.2009",3405,2302,1635,1205,3880,462,63,85,949
"01.12.2009",3064,1981,1338,1235,3032,342,81,55,829
"01.01.2010",3733,2441,1833,1303,4025,474,72,63,1134
"01.02.2010",3113,2078,1707,970,3494,378,57,72,777
"01.03.2010",3976,2168,1774,1248,4486,545,71,78,963
"01.04.2010",3829,2252,1792,1278,5106,586,76,73,1059
"01.05.2010",4117,2175,1580,1325,4777,526,102,72,1130
"01.06.2010",4006,2131,1509,1293,4802,453,110,65,976
"01.07.2010",4046,1948,1495,1320,4635,564,123,70,1029
"01.08.2010",3784,2073,1548,1313,4981,524,120,77,933
