"month","total"
"01.01.2006",31161
"01.02.2006",28962
"01.03.2006",34014
"01.04.2006",30636
"01.05.2006",32368
"01.06.2006",30540
"01.07.2006",30456
"01.08.2006",32251
"01.09.2006",30462
"01.10.2006",32830
"01.11.2006",30304
"01.12.2006",27950
"01.01.2007",37681
"01.02.2007",32219
"01.03.2007",35670
"01.04.2007",33298
"01.05.2007",35597
"01.06.2007",32809
"01.07.2007",32670
"01.08.2007",35783
"01.09.2007",33213
"01.10.2007",35111
"01.11.2007",31393
"01.12.2007",27787
"01.01.2008",36827
"01.02.2008",33156
"01.03.2008",36527
"01.04.2008",33995
"01.05.2008",34662
"01.06.2008",33141
"01.07.2008",32310
"01.08.2008",32909
"01.09.2008",32982
"01.10.2008",35773
"01.11.2008",30731
"01.12.2008",28516
"01.01.2009",36934
"01.02.2009",34879
"01.03.2009",38451
"01.04.2009",35736
"01.05.2009",37242
"01.06.2009",34802
"01.07.2009",34996
"01.08.2009",35289
"01.09.2009",33919
"01.10.2009",36313
"01.11.2009",32987
"01.12.2009",29768
"01.01.2010",37437
"01.02.2010",31714
"01.03.2010",37818
"01.04.2010",37795
"01.05.2010",37447
"01.06.2010",36040
"01.07.2010",35176
"01.08.2010",35391
"01.09.2010",34143
"01.10.2010",37728
"01.11.2010",33327
"01.12.2010",28306
"01.01.2011",34212
"01.02.2011",34168
"01.03.2011",38816
"01.04.2011",37214
"01.05.2011",36868
"01.06.2011",35726
"01.07.2011",34692
"01.08.2011",33315
"01.09.2011",31069
"01.10.2011",33232
"01.11.2011",32838
"01.12.2011",30709
"01.01.2012",36509
"01.02.2012",34412
"01.03.2012",38670
"01.04.2012",33668
"01.05.2012",36062
"01.06.2012",32522
"01.07.2012",33446
"01.08.2012",35443
"01.09.2012",32264
"01.10.2012",32969
"01.11.2012",23045
"01.12.2012",27270
"01.01.2013",33559
"01.02.2013",31567
"01.03.2013",33853
"01.04.2013",34788
"01.05.2013",35741
"01.06.2013",31827
"01.07.2013",33444
"01.08.2013",34468
"01.09.2013",31304
"01.10.2013",33749
"01.11.2013",31319
"01.12.2013",28190
"01.01.2014",32783
"01.02.2014",30891
"01.03.2014",36227
"01.04.2014",34630
"01.05.2014",36199
"01.06.2014",33256
"01.07.2014",34970
"01.08.2014",33979
"01.09.2014",31809
"01.10.2014",34908
"01.11.2014",28886
"01.12.2014",19189
"01.01.2015",25338
"01.02.2015",27076
"01.03.2015",30007
"01.04.2015",29958
"01.05.2015",28643
"01.06.2015",28682
"01.07.2015",30189
"01.08.2015",31338
"01.09.2015",28725
"01.10.2015",28978
"01.11.2015",26063
"01.12.2015",24473
"01.01.2016",27343
"01.02.2016",27036
"01.03.2016",28583
"01.04.2016",26907
"01.05.2016",28176
"01.06.2016",26470
"01.07.2016",24563
"01.08.2016",26983
"01.09.2016",25021
"01.10.2016",26916
"01.11.2016",23442
"01.12.2016",23424
"01.01.2017",25770
"01.02.2017",23165
"01.03.2017",25658
"01.04.2017",25026
"01.05.2017",25048
"01.06.2017",23431
"01.07.2017",23433
"01.08.2017",24098
"01.09.2017",22585
"01.10.2017",24745
"01.11.2017",22991
"01.12.2017",20275
"01.01.2018",23882
"01.02.2018",21724
"01.03.2018",22462
"01.04.2018",21327
"01.05.2018",22036
"01.06.2018",19612
"01.07.2018",20875
"01.08.2018",21380
"01.09.2018",18518
"01.10.2018",19554
"01.11.2018",18002
"01.12.2018",17401
"01.01.2019",20091
"01.02.2019",17692
"01.03.2019",19672
"01.04.2019",19197
"01.05.2019",19553
"01.06.2019",17444
"01.07.2019",19577
"01.08.2019",18083
"01.09.2019",16656
"01.10.2019",17469
"01.11.2019",15546
"01.12.2019",13637
"01.01.2020",16171
"01.02.2020",15472
"01.03.2020",13179
"01.04.2020",8295
"01.05.2020",13581
"01.06.2020",8083
"01.07.2020",7461
"01.08.2020",9828
"01.09.2020",11304
"01.10.2020",13027
"01.11.2020",11467
"01.12.2020",12545
"01.01.2021",13506
"01.02.2021",11653
"01.03.2021",13980
"01.04.2021",10424
"01.05.2021",11822
"01.06.2021",12850
"01.07.2021",13561
"01.08.2021",13745
"01.09.2021",13756
"01.10.2021",14453
"01.11.2021",13068
"01.12.2021",12689
"01.01.2022",13190
"01.02.2022",14070
"01.03.2022",16940
"01.04.2022",16074
"01.05.2022",16552
"01.06.2022",16402
"01.07.2022",15793
"01.08.2022",15733
"01.09.2022",15880
"01.10.2022",17158
"01.11.2022",16663
"01.12.2022",15319
