"","x"
"1",31161
"2",28962
"3",34014
"4",30636
"5",32368
"6",30540
"7",30456
"8",32251
"9",30462
"10",32830
"11",30304
"12",27950
"13",37681
"14",32219
"15",35670
"16",33298
"17",35597
"18",32809
"19",32670
"20",35783
"21",33213
"22",35111
"23",31393
"24",27787
"25",36827
"26",33156
"27",36527
"28",33995
"29",34662
"30",33141
"31",32310
"32",32909
"33",32982
"34",35773
"35",30731
"36",28516
"37",36934
"38",34879
"39",38451
"40",35736
"41",37242
"42",34802
"43",34996
"44",35289
"45",33919
"46",36313
"47",32987
"48",29768
"49",37437
"50",31714
"51",37818
"52",37795
"53",37447
"54",36040
"55",35176
"56",35391
"57",34143
"58",37728
"59",33327
"60",28306
"61",34212
"62",34168
"63",38816
"64",37214
"65",36868
"66",35726
"67",34692
"68",33315
"69",31069
"70",33232
"71",32838
"72",30709
"73",36509
"74",34412
"75",38670
"76",33668
"77",36062
"78",32522
"79",33446
"80",35443
"81",32264
"82",32969
"83",23045
"84",27270
"85",33559
"86",31567
"87",33853
"88",34788
"89",35741
"90",31827
"91",33444
"92",34468
"93",31304
"94",33749
"95",31319
"96",28190
"97",32783
"98",30891
"99",36227
"100",34630
"101",36199
"102",33256
"103",34970
"104",33979
"105",31809
"106",34908
"107",28886
"108",19189
"109",25338
"110",27076
"111",30007
"112",29958
"113",28643
"114",28682
"115",30189
"116",31338
"117",28725
"118",28978
"119",26063
"120",24473
"121",27343
"122",27036
"123",28583
"124",26907
"125",28176
"126",26470
"127",24563
"128",26983
"129",25021
"130",26916
"131",23442
"132",23424
"133",25770
"134",23165
"135",25658
"136",25026
"137",25048
"138",23431
"139",23433
"140",24098
"141",22585
"142",24745
"143",22991
"144",20275
"145",23882
"146",21724
"147",22462
"148",21327
"149",22036
"150",19612
"151",20875
"152",21380
"153",18518
"154",19554
"155",18002
"156",17401
"157",20091
"158",17692
"159",19672
"160",19197
"161",19553
"162",17444
"163",19577
"164",18083
"165",16656
"166",17469
"167",15546
"168",13637
"169",16171
"170",15472
"171",13179
"172",8295
"173",13581
"174",8083
"175",7461
"176",9828
"177",11304
"178",13027
"179",11467
"180",12545
"181",13506
"182",11653
"183",13980
"184",10424
"185",11822
"186",12850
"187",13561
"188",13745
"189",13756
"190",14453
"191",13068
"192",12689
"193",13190
"194",14070
"195",16940
"196",16074
"197",16552
"198",16402
"199",15793
"200",15733
"201",15880
"202",17158
"203",16663
"204",15319
