Bureau of Justice Statistics,,,,,,,,,,,,
Filename: cv22at05.csv,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 4: Percent of victimizations reported to police, by type of crime, 2021 and 2022",,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 5. Standard errors for table 4: Percent of victimizations reported to police, by type of crime, 2021 and 2022",,,,,,,,,,,,
Type of crime,,,,2021,,2022,,,,,,
Total violent crime,,,,2.06,%,1.83,%,,,,,
,Rape/sexual assault,,,4.48,,3.46,,,,,,
,Robbery,,,6.09,,4.89,,,,,,
,Assault,,,2.19,,2.06,,,,,,
,,Aggravated assault,,3.42,,3.60,,,,,,
,,Simple assault,,2.68,,2.37,,,,,,
Violent crime excluding simple assault,,,,2.90,%,2.54,%,,,,,
Selected characteristics of violent crime,,,,,,,,,,,,
,Domestic violence,,,4.98,%,4.30,%,,,,,
,,Intimate partner violence,,5.04,,5.29,,,,,,
,Stranger violence,,,2.87,,2.87,,,,,,
,Violent crime with an injury,,,4.07,,3.56,,,,,,
,Violent crime with a weapon,,,3.12,,3.57,,,,,,
Total property crime,,,,0.85,%,0.83,%,,,,,
,Burglary/trespassing,,,2.25,,2.55,,,,,,
,,Burglary,,2.86,,3.08,,,,,,
,,Trespassing,,3.95,,4.50,,,,,,
,Motor vehicle theft,,,3.07,,2.02,,,,,,
,Other theft,,,0.82,,0.84,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,,,,,,,,
