Bureau of Justice Statistics,,,,,,,
Filename: cv22at07.csv,,,,,,,
"Appendix table 7. Standard errors for table 6: Rate of victimizations reported and not reported to police, by type of crime, 2021 and 2022",,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 9/14/2023,,,,,,,
,,,,,,,
"Appendix table 7. Standard errors for table 6: Rate of victimizations reported and not reported to police, by type of crime, 2021 and 2022",,,,,,,
,,,,Reported to police,,Not reported to police,
Type of crime,,,,2021,2022,2021,2022
Total violent crime,,,,0.49,0.56,0.53,0.67
,Rape/sexual assault,,,0.06,0.06,0.12,0.18
,Robbery,,,0.13,0.25,0.14,0.13
,Assault,,,0.44,0.5,0.5,0.63
,,Aggravated assault,,0.16,0.26,0.13,0.32
,,Simple assault,,0.41,0.38,0.48,0.55
Violent crime excluding simple assault,,,,0.22,0.34,0.22,0.39
Selected characteristics of violent crime,,,,,,,
,Domestic violence,,,0.19,0.33,0.27,0.29
,,Intimate partner violence,,0.14,0.27,0.13,0.26
,Stranger violence,,,0.32,0.35,0.27,0.46
,Violent crime with an injury,,,0.2,0.26,0.21,0.28
,Violent crime with a weapon,,,0.18,0.32,0.13,0.34
Total property crime,,,,0.86,1.08,1.58,1.57
,Burglary/trespassing,,,0.4,0.55,0.48,0.51
,,Burglary,,0.32,0.5,0.36,0.39
,,Trespassing,,0.27,0.27,0.28,0.28
,Motor vehicle theft,,,0.28,0.33,0.14,0.12
,Other theft,,,0.66,0.83,1.38,1.38
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,,,
