Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cv22at12.csv,,,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 11: Number and percent of violent incidents, by demographic characteristics of population, victims, and offenders, 2022",,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022",,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 11: Number and percent of violent incidents, by demographic characteristics of population, victims, and offenders, 2022",,,,,,,,,,,,,,,
,,,,Percent of violent incidents,,,,,,,,,,,
,,,,Victim ,,,,,,Offender,,,,,
,,Number of violent incidents,,Standard error,,95% confidence interval,,,,Standard error,,95% confidence interval,,,
Demographic characteristic,,Victim ,Offender,,,Lower bound,,Upper bound,,,,Lower bound,,Upper bound,
,Total,"240,942","240,942",~,,~,,~,,~,,~,,~,
Sex,,,,,,,,,,,,,,,
,Male,"160,982","187,050",1.84,%,45,%,52.22,%,1.5,%,75.62,%,81.51,%
,Female,"171,608","93,882",1.84,,47.78,,55,,1.41,,13.76,,19.28,
,Both male and female offenders,~,"56,728",~,,~,,~,,0.98,,2.99,,6.84,
Race/Hispanic origin ,,,,,,,,,,,,,,,
,White,"214,229","171,495",2.21,%,57.6,%,66.27,%,2.15,%,48.89,%,57.31,%
,Black,"69,184","91,132",1.1,,9.42,,13.73,,1.58,,22.25,,28.46,
,Hispanic,"98,555","82,379",1.55,,14.18,,20.27,,1.53,,10.73,,16.71,
,Asian/Native Hawaiian/Other Pacific Islander,"50,430","20,781",0.79,,2.5,,5.59,,0.42,,1.01,,2.64,
,Other,"63,497","35,561",0.97,,3.33,,7.12,,0.7,,1.19,,3.95,
,Multiple offenders of various races,~,"39,930",~,,~,,~,,0.77,,1.91,,4.94,
Age,,,,,,,,,,,,,,,
,11 or younger,~,"23,076",~,,~,,~,,0.44,%,0.38,%,2.11,%
,12–17,"81,875","71,300",1.29,%,7.92,%,12.96,%,1.35,,6.67,,11.95,
,18–29,"134,450","105,555",1.84,,25.42,,32.63,,1.7,,20.59,,27.26,
,30 or older,"192,189","186,441",1.89,,56.83,,64.25,,2.32,,55.13,,64.22,
,Multiple offenders of various ages,~,"50,952",~,,~,,~,,0.97,,3.94,,7.74,
~Not applicable. ,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2022.",,,,,,,,,,,,,,,
