Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv22at16.csv,,,,,,,,,,,,,,,,,
"Appendix table 16. Standard errors for table 14: Number and percent of persons who were victims of violent crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018-2022",,,,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 16. Standard errors for table 14: Number and percent of persons who were victims of violent crime, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,
,,,Number of victims ,,,,,Percent of persons,,,,,,,,,
Type of violent crime,,,2018,2019,2020,2021,2022,2018,,2019,,2020,,2021,,2022,
Total violent crime,,,"106,453","101,966","108,881","97,722","127,339",0.037,%,0.036,%,0.04,%,0.035,%,0.042,%
,Rape/sexual assault,,"33,619","22,482","24,065","25,591","29,789",0.012,,0.008,,0.009,,0.009,,0.01,
,Robbery,,"30,657","30,947","32,588","31,738","37,973",0.011,,0.011,,0.012,,0.011,,0.013,
,Assault,,"92,852","94,118","96,250","86,680","109,798",0.033,,0.033,,0.035,,0.031,,0.037,
,,Aggravated assault,"43,726","46,549","46,890","39,415","51,185",0.016,,0.017,,0.017,,0.014,,0.018,
,,Simple assault,"89,167","78,655","84,023","72,824","90,943",0.032,,0.028,,0.031,,0.026,,0.031,
Violent crime excluding simple assault,,,"65,626","59,953","66,478","61,018","74,863",0.023,%,0.021,%,0.024,%,0.022,%,0.026,%
Selected characteristics of violent crime,,,,,,,,,,,,,,,,,
,Domestic violence,,"44,973","36,583","40,970","37,936","44,286",0.016,%,0.013,%,0.015,%,0.014,%,0.016,%
,,Intimate partner violence,"33,587","28,984","27,659","26,140","31,093",0.012,,0.01,,0.01,,0.009,,0.011,
,Stranger violence,,"70,402","69,343","76,962","66,889","82,772",0.025,,0.025,,0.028,,0.024,,0.029,
,Violent crime with an injury,,"47,606","49,955","47,154","42,454","50,560",0.017,,0.018,,0.017,,0.015,,0.018,
,Violent crime with a weapon,,"46,485","50,036","50,350","44,500","59,020",0.017,,0.018,,0.018,,0.016,,0.021,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022.",,,,,,,,,,,,,,,,,
