Bureau of Justice Statistics,,,,,,,,,,,,
Filename: cv22f02.csv,,,,,,,,,,,,
"Figure 2. Percent of persons age 12 or older who were victims of violent crime and violent crime excluding simple assault, 1993–2022",,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2022",,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,
,,,,,,,,,,,,
"Figure 2. Percent of persons age 12 or older who were victims of violent crime and violent crime excluding simple assault, 1993–2022",,,,,,,,,,,,
,Total violent crime,,,,,,Violent crime excluding simple assault,,,,,
,,,95% confidence interval,,,,,,95% confidence interval,,,
Year,Percent,,Lower bound,,Upper bound,,Percent,,Lower bound,,Upper bound,
1993,2.93,%,2.856,%,3.004,%,1.26,%,1.213,%,1.304,%
1994,3.28,,3.133,,3.427,,1.39,,1.313,,1.47,
1995,3,,2.871,,3.123,,1.17,,1.099,,1.239,
1996,2.71,,2.596,,2.827,,1.05,,0.979,,1.118,
1997,2.65,,2.494,,2.801,,1.05,,0.97,,1.128,
1998,2.45,,2.286,,2.608,,0.91,,0.827,,0.997,
1999,2.11,,1.972,,2.253,,0.81,,0.749,,0.873,
2000,1.88,,1.741,,2.019,,0.72,,0.648,,0.783,
2001,1.7,,1.584,,1.819,,0.63,,0.569,,0.696,
2002,1.55,,1.445,,1.659,,0.53,,0.479,,0.577,
2003,1.48,,1.382,,1.575,,0.53,,0.484,,0.583,
2004,1.44,,1.328,,1.551,,0.53,,0.468,,0.588,
2005,1.37,,1.268,,1.473,,0.51,,0.453,,0.56,
2006,--,,--,,--,,--,,--,,--,
2007,1.32,,1.222,,1.42,,0.48,,0.428,,0.539,
2008,1.31,,1.219,,1.396,,0.48,,0.429,,0.531,
2009,1.17,,1.083,,1.261,,0.44,,0.389,,0.483,
2010,1.08,,0.98,,1.172,,0.43,,0.371,,0.484,
2011,1.2,,1.112,,1.287,,0.47,,0.425,,0.511,
2012,1.36,,1.274,,1.456,,0.49,,0.432,,0.539,
2013,1.15,,1.072,,1.229,,0.43,,0.393,,0.474,
2014,1.11,,1.024,,1.188,,0.46,,0.415,,0.512,
2015,0.98,,0.902,,1.065,,0.41,,0.363,,0.452,
2016,1.06,,0.988,,1.13,,0.41,,0.37,,0.456,
2017,1.14,,1.065,,1.215,,0.45,,0.409,,0.491,
2018,1.18,,1.11,,1.254,,0.5,,0.451,,0.542,
2019,1.1,,1.034,,1.175,,0.44,,0.398,,0.481,
2020,0.93,,0.856,,1.013,,0.37,,0.321,,0.416,
2021,0.98,,0.911,,1.048,,0.4,,0.356,,0.442,
2022,1.24,,1.161,,1.327,,0.54,,0.492,,0.593,
"Note: See table 1 for definitions and appendix table 15 for estimates, standard errors, and 95% confidence intervals. Estimates for 2006 should not be compared to other years. See Criminal Victimization, 2007 (NCJ 224390, BJS, December 2008) for information on changes to the 2006 National Crime Victimization Survey. ",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2022.",,,,,,,,,,,,
