Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cv22t01.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number and rate of violent victimizations, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/14/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number and rate of violent victimizations, by type of crime, 2018–2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022*,
Type of violent crime,,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,"Rate per 1,000/a"
Total violent crime/b,,,"6,385,520",,23.2,,,"5,813,410", †,21, ‡,,"4,558,150", †,16.4, †,,"4,598,310", †,16.5, †,,"6,624,950",23.5
,Rape/sexual assault/c,,"734,630", †,2.7, †,,"459,310",,1.7,,,"319,950", †,1.2, †,,"324,500", †,1.2, †,,"531,810",1.9
,Robbery,,"573,100",,2.1,,,"534,420", ‡,1.9,,,"437,260", †,1.6, †,,"464,280", †,1.7, †,,"694,860",2.5
,Assault,,"5,077,790",,18.4,,,"4,819,680", ‡,17.4,,,"3,800,950", †,13.7, †,,"3,809,530", †,13.6, †,,"5,398,290",19.1
,,Aggravated assault,"1,058,040", †,3.8, †,,"1,019,490", †,3.7, †,,"812,180", †,2.9, †,,"766,330", †,2.7, †,,"1,540,110",5.5
,,Simple assault,"4,019,750",,14.6,,,"3,800,190",,13.7,,,"2,988,770", †,10.7, †,,"3,043,190", †,10.9, †,,"3,858,180",13.7
Violent crime excluding simple assault/d,,,"2,365,770", †,8.6, ‡,,"2,013,220", †,7.3, †,,"1,569,390", †,5.6, †,,"1,555,110", †,5.6, †,,"2,766,770",9.8
Selected characteristics of violent crime/e,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic violence/f,,"1,333,050",,4.8,,,"1,164,540",,4.2,,,"856,750", †,3.1, †,,"910,880", †,3.3, †,,"1,370,440",4.9
,,Intimate partner violence/g,"847,230",,3.1,,,"695,060", ‡,2.5,,,"484,830", †,1.7, †,,"473,730", †,1.7, †,,"951,930",3.4
,Stranger violence,,"2,493,750", ‡,9.1,,,"2,254,740", †,8.1, †,,"1,973,200", †,7.1, †,,"2,056,150", †,7.4, †,,"2,994,270",10.6
,Violent crime with an injury,,"1,449,530",,5.3,,,"1,265,680",,4.6,,,"1,160,920",,4.2,,,"975,340", †,3.5, †,,"1,412,290",5
,Violent crime with a weapon,,"1,329,700", †,4.8, †,,"1,119,060", †,4, †,,"938,740", †,3.4, †,,"895,560", †,3.2, †,,"1,798,150",6.4
"Note: Details may not sum to totals due to rounding. Includes threatened, attempted, and completed occurrences of crimes. See appendix table 2 for standard errors.",,,,,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,,,,
‡Difference with comparison year is significant at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,,,,
"a/Rate is per 1,000 persons age 12 or older. See appendix table 19 for person populations.",,,,,,,,,,,,,,,,,,,,,,,,
b/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims.,,,,,,,,,,,,,,,,,,,,,,,,
c/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,,,,,,,,,,,,
e/Violent crime categories such as domestic violence and violent crime with an injury are not mutually exclusive from other violent crime categories or other selected characteristics.,,,,,,,,,,,,,,,,,,,,,,,,
f/Includes the subset of violent victimizations that were committed by current or former intimate partners or family members.,,,,,,,,,,,,,,,,,,,,,,,,
"g/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018–2022.",,,,,,,,,,,,,,,,,,,,,,,,
