Bureau of Justice Statistics,,,,,,
Filename: cv22t04.csv,,,,,,
"Table 4. Percent of victimizations reported to police, by type of crime, 2021 and 2022",,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 9/14/2023,,,,,,
,,,,,,
"Table 4. Percent of victimizations reported to police, by type of crime, 2021 and 2022",,,,,,
Type of crime,,,2021,,2022*,
Total violent crime/a,,,45.6,%,41.5,%
,Rape/sexual assault/b,,21.5,,21.4,
,Robbery,,60,,64,
,Assault,,46,‡,40.6,
,,Aggravated assault,60.5,†,49.9,
,,Simple assault,42.3,,36.8,
Violent crime excluding simple assault/c,,,52.2,%,48,%
Selected characteristics of violent crime/d,,,,,,
,Domestic violence/e,,48.9,%,53.8,%
,,Intimate partner violence/f,50.7,,51.5,
,Stranger violence,,48.4,†,36,
,Violent crime with an injury,,55.9,,48.8,
,Violent crime with a weapon,,60.5,‡,51.7,
Total property crime,,,30.8,%,31.8,%
,Burglary/trespassing/g,,40.7,,43.8,
,,Burglary/h,41.5,,44.9,
,,Trespassing/i,39.4,,41.2,
,Motor vehicle theft,,76.9,,80.9,
,Other theft/j,,26.1,,26.4,
See appendix table 5 for standard errors.,,,,,,
*Comparison year.,,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,,
‡Difference with comparison year is significant at the 90% confidence level.,,,,,,
a/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims.,,,,,,
b/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,
"c/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,,
d/Violent crime categories such as domestic violence and violent crime with an injury are not mutually exclusive from other violent crime categories or other selected characteristics.,,,,,,
e/Includes the subset of violent victimizations that were committed by current or former intimate partners or family members.,,,,,,
"f/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,,
"g/Includes unlawful or forcible entry or attempted entry of places, including a permanent residence, other residence (e.g., a hotel room or vacation residence), or other structure (e.g., a garage or shed). Includes victimizations where the offender stole, attempted to steal, or did not attempt to steal. Excludes trespassing on land.",,,,,,
h/Includes only crimes where the offender committed or attempted a theft. ,,,,,,
i/Includes crimes where the offender did not commit or attempt a theft. Excludes trespassing on land.,,,,,,
j/Includes other unlawful taking or attempted unlawful taking of property or cash without personal contact with the victim.,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,,
