Bureau of Justice Statistics,,,,,
Filename: cv22t09.csv,,,,,
"Table 9. Percent of violent victimizations for which victims received assistance from a victim service provider, by type of crime, 2021 and 2022",,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 9/14/2023,,,,,
,,,,,
"Table 9. Percent of violent victimizations for which victims received assistance from a victim service provider, by type of crime, 2021 and 2022",,,,,
Type of violent crime,,2021,,2022*,
Total violent crime/a,,8.8,%,9.3,%
,Simple assault,8.9,,7,
Violent crime excluding simple assault/b,,8.5,%,12.5,%
Selected characteristics of violent crime/c,,,,,
,Intimate partner violence/d,20.2,%,29.4,%
,Violent crime with an injury,13.3,,17.1,
,Violent crime with a weapon,9.6,,8.6,
Note: See appendix table 10 for standard errors. ,,,,,
*Comparison year.,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the National Crime Victimization Survey is based on interviews with victims.",,,,,
"b/Includes rape or sexual assault, robbery, and aggravated assault.",,,,,
c/Violent crime categories such as domestic violence and violent crime with an injury are not mutually exclusive from other violent crime categories or other selected characteristics.,,,,,
"d/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,
