Bureau of Justice Statistics,,,,,
Filename: cv22t10.csv,,,,,
"Table 10. Firearm violence, 2021 and 2022",,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 9/14/2023,,,,,
,,,,,
"Table 10. Firearm violence, 2021 and 2022",,,,,
,,2021,,2022*,
,Total violent victimizations,"4,598,310",†,"6,624,950",
Firearm victimizations,,,,,
,Number,"326,890",†,"640,710",
,Percent,7.1,% †,9.7,%
,Rate/a,1.2,†,2.3,
Firearm victimizations reported to police,,,,,
,Number,"237,980",†,"389,590",
,Percent,72.8,%,60.8,%
"Note: Includes violent crimes in which the offender possessed, showed, or used a firearm. See appendix table 11 for standard errors.",,,,,
*Comparison year.,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,
"a/Rate is per 1,000 persons age 12 or older. See appendix table 19 for person populations.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,
