Bureau of Justice Statistics,,,,,,,,
Filename: cv22t15.csv,,,,,,,,
"Table 15. Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2021 and 2022",,,,,,,,
"Report title: Criminal Victimization, 2022   NCJ 307089",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022",,,,,,,,
"Authors: Alexandra Thompson and Susannah N. Tapp, PhD, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 9/14/2023,,,,,,,,
,,,,,,,,
"Table 15. Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2021 and 2022",,,,,,,,
,,Number of victims/a,,,Percent of persons/b,,,
Victim demographic characteristic,,2021,,2022*,2021,,2022*,
,Total,"2,734,700",†,"3,511,870",0.98,% †,1.24,%
Sex,,,,,,,,
,Male,"1,456,310",†,"1,749,030",1.07,% †,1.26,%
,Female,"1,278,390",†,"1,762,840",0.89,†,1.22,
Race/Hispanic origin,,,,,,,,
,White/c,"1,610,000",†,"2,102,610",0.94,% †,1.23,%
,Black/c,"384,210",‡,"480,350",1.13,‡,1.39,
,Hispanic,"516,860",‡,"622,790",1.05,,1.22,
,"Asian/Native Hawaiian/Other Pacific Islander/c,d","102,650",†,"162,070",0.53,†,0.82,
,"Other/c,e","120,980",,"144,050",2.24,,2.54,
Age,,,,,,,,
,12–17,"193,960",†,"443,990",0.78,% †,1.72,%
,18–24,"461,600",,"538,720",1.58,,1.83,
,25–34,"601,850",†,"785,660",1.33,†,1.76,
,35–49,"677,790",‡,"783,510",1.1,,1.25,
,50–64,"574,430",,"647,610",0.92,,1.03,
,65 or older,"225,070",†,"312,390",0.4,†,0.55,
Marital status,,,,,,,,
,Never married,"1,386,590",†,"1,894,620",1.36,% †,1.82,%
,Married,"734,630",†,"883,070",0.58,†,0.69,
,Widowed,"74,100",,"100,220",0.47,,0.66,
,Divorced,"412,960",‡,"490,080",1.51,‡,1.78,
,Separated,"110,120",,"135,680",2.31,,2.76,
Household income,,,,,,,,
,"Less than $25,000","693,750",†,"827,920",1.66,% †,2.15,
,"$25,000–$49,999","624,330",†,"767,560",0.96,†,1.25,
,"$50,000–$99,999","828,570",†,"1,032,440",0.94,†,1.17,
,"$100,000–$199,999","430,970",†,"599,240",0.69,†,0.88,
,"$200,000 or more","157,080",†,"284,710",0.71,†,1.11,
"Note: Details may not sum to totals due to rounding and missing data. Violent crime includes rape or sexual assault, robbery, aggravated assault, and simple assault. It excludes homicide because the National Crime Victimization Survey is based on interviews with victims. See appendix table 17 for standard errors.",,,,,,,,
*Comparison year.,,,,,,,,
†Difference with comparison year is significant at the 95% confidence level.,,,,,,,,
‡Difference with comparison year is significant at the 90% confidence level.,,,,,,,,
a/Number of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one violent victimization during the year. See appendix table 19 for person populations.,,,,,,,,
"c/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,
d/Includes persons who identified as Asian only or Native Hawaiian or Other Pacific Islander only. Categories are not shown separately due to small numbers of sample cases.,,,,,,,,
e/Includes persons who identified as American Indian or Alaska Native only or as two or more races. Categories are not shown separately due to small numbers of sample cases.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2021 and 2022.",,,,,,,,
