Bureau of Justice Statistics,,,,,,,
Filename: rpr24s0810yfup0818at01.csv,,,,,,,
"Appendix table 1. Number of state prisoners released in 24 states in 2008 who were included in the study sample and for whom criminal history data were collected, by state",,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 9/8/2021,,,,,,,
,,,,,,,
"Appendix table 1. Number of state prisoners released in 24 states in 2008 who were included in the study sample and for whom criminal history data were collected, by state",,,,,,,
,,Released prisoners included in the study,,,Criminal history data collected,,
State,,Weighted total/a,Sample size/a,,Number/a,Percent/b,
,All states,"409,300","76,700",,"73,600",95.9,%
Alabama,,"8,700","2,700",,"2,000",75.2,
Arizona,,"15,200","3,100",,"3,100",99.7,
Arkansas,,"13,800","3,200",,"2,900",91.2,
California,,"111,400","9,100",,"9,000",98.4,
Colorado,,"10,200","2,800",,"2,800",99.8,
Florida,,"35,500","5,100",,"5,000",97.7,
Georgia,,"18,400","4,100",,"4,000",98.3,
Hawaii,,"1,400",900,,900,98.7,
Iowa,,"4,700","1,900",,"1,500",79.6,
Louisiana,,"11,800","3,000",,"3,000",99.4,
Michigan,,"13,400","4,000",,"3,900",96.4,
Missouri,,"17,000","3,600",,"3,600",99.8,
Nebraska,,"2,000","1,300",,"1,000",78.4,
New Jersey,,"13,100","3,000",,"3,000",99.2,
New York,,"25,900","4,800",,"4,200",87.8,
North Dakota,,"1,000",700,,700,99.3,
Oklahoma,,"8,100","2,600",,"2,400",93.4,
Oregon,,"4,800","2,300",,"2,200",98.1,
Pennsylvania,,"15,700","3,700",,"3,600",99.1,
South Carolina,,"9,900","2,700",,"2,600",97.6,
Texas,,"49,000","5,700",,"5,700",99.9,
Washington,,"7,900","2,600",,"2,600",99.9,
Wisconsin,,"10,000","3,300",,"3,300",99.9,
Wyoming,,700,600,,500,89.9,
"Note: This study excludes released prisoners whose sentence was less than 1 year; releases to custody, detainer, or warrant; releases due to death; escapes or absences without leave; transfers; administrative releases; and releases on appeal. The first release was selected for persons released from prison in the same state multiple times during 2008. The study also excludes sampled prisoners who died during the follow-up period. ",,,,,,,
a/The number of released prisoners is rounded to the nearest 100. Details may not sum to totals due to rounding. ,,,,,,,
b/Percentages are based on the unrounded sample sizes. ,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,
