Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at02.csv,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Standard errors for table 4: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Standard errors for table 4: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Number of released prisoners,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,99,0.32,%,0.3,%,0.28,%,0.27,%,0.25,%,0.24,%,0.24,%,0.23,%,0.23,%,0.23,%
Sex,,,,,,,,,,,,,,,,,,,,,,,
,Male,,95,0.36,%,0.34,%,0.31,%,0.3,%,0.28,%,0.27,%,0.26,%,0.26,%,0.26,%,0.25,%
,Female,,29,0.37,,0.37,,0.36,,0.35,,0.34,,0.33,,0.32,,0.31,,0.31,,0.3,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,
,White,,"1,255",0.48,%,0.46,%,0.43,%,0.4,%,0.38,%,0.37,%,0.35,%,0.34,%,0.34,%,0.33,%
,Black,,"1,234",0.5,,0.46,,0.42,,0.39,,0.36,,0.34,,0.33,,0.32,,0.31,,0.31,
,Hispanic,,"1,226",0.9,,0.86,,0.81,,0.78,,0.74,,0.72,,0.7,,0.7,,0.69,,0.68,
,American Indian/Alaska Native,,245,2.54,,2.21,,1.96,,1.88,,1.83,,1.79,,1.77,,1.75,,1.72,,1.72,
,Asian/Native Hawaiian/Other Pacific Islander,,165,3.73,,3.44,,3.27,,3.2,,3.18,,3.15,,3.14,,3.04,,3.03,,3.03,
,Other,,278,5.35,,5.08,,4.87,,4.67,,4.23,,4.18,,4.18,,4.03,,4.03,,4.03,
Age at release,,,,,,,,,,,,,,,,,,,,,,,
,24 or younger,,956,0.83,%,0.74,%,0.67,%,0.63,%,0.59,%,0.55,%,0.53,%,0.51,%,0.5,%,0.48,%
,25–39,,"1,351",0.46,,0.43,,0.4,,0.37,,0.35,,0.33,,0.32,,0.31,,0.31,,0.3,
,40 or older,,"1,294",0.57,,0.55,,0.53,,0.51,,0.48,,0.47,,0.46,,0.45,,0.45,,0.44,
,,40–54,"1,256",0.61,,0.59,,0.56,,0.53,,0.5,,0.49,,0.47,,0.47,,0.46,,0.46,
,,55–64,472,1.8,,1.83,,1.81,,1.79,,1.77,,1.74,,1.72,,1.71,,1.71,,1.7,
,,65 or older,199,4.48,,4.81,,4.72,,4.67,,4.63,,4.63,,4.59,,4.59,,4.58,,4.57,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,
