Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at03.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Standard errors for table 5: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by most serious commitment offense, type of prison admission, and year following release",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Standard errors for table 5: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by most serious commitment offense, type of prison admission, and year following release",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of released prisoners,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,,99,0.32,%,0.3,%,0.28,%,0.27,%,0.25,%,0.24,%,0.24,%,0.23,%,0.23,%,0.23,%
Most serious commitment offense,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,,,"1,099",0.63,%,0.6,%,0.57,%,0.54,%,0.51,%,0.49,%,0.48,%,0.47,%,0.47,%,0.46,%
,,Homicide,,16,0.1,,0.12,,0.13,,0.13,,0.14,,0.14,,0.14,,0.14,,0.14,,0.14,
,,,Murder/nonnegligent manslaughter,15,0.13,,0.15,,0.17,,0.17,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,Negligent manslaughter,10,0.17,,0.2,,0.22,,0.22,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,
,,Rape/sexual assault,,17,0.07,,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,
,,Robbery,,703,1.29,,1.24,,1.17,,1.11,,1.02,,0.99,,0.96,,0.95,,0.94,,0.92,
,,Assault,,839,1.23,,1.16,,1.09,,1.02,,0.98,,0.96,,0.95,,0.92,,0.91,,0.9,
,,Other violent,,445,2.27,,2.23,,2.07,,2.02,,1.87,,1.8,,1.78,,1.76,,1.75,,1.69,
,Property,,,"1,246",0.62,,0.56,,0.51,,0.48,,0.44,,0.42,,0.41,,0.4,,0.39,,0.39,
,,Burglary,,862,1.01,,0.93,,0.86,,0.8,,0.73,,0.71,,0.69,,0.66,,0.65,,0.64,
,,Larceny/motor vehicle theft,,884,1.16,,1.04,,0.92,,0.86,,0.8,,0.75,,0.75,,0.73,,0.72,,0.71,
,,Fraud/forgery,,480,1.24,,1.16,,1.1,,1.04,,1,,0.96,,0.94,,0.92,,0.91,,0.89,
,,Other property,,511,1.71,,1.5,,1.37,,1.23,,1.11,,1.05,,1.02,,1,,0.97,,0.97,
,Drug,,,"1,246",0.61,,0.58,,0.55,,0.52,,0.5,,0.48,,0.46,,0.45,,0.45,,0.44,
,,Possession,,934,1.1,,1.03,,0.96,,0.91,,0.87,,0.82,,0.79,,0.77,,0.77,,0.76,
,,Trafficking,,951,1.03,,0.98,,0.93,,0.88,,0.85,,0.81,,0.8,,0.79,,0.77,,0.75,
,,Other drug,,328,0.72,,0.74,,0.71,,0.69,,0.66,,0.64,,0.62,,0.6,,0.59,,0.57,
,Public order,,,"1,023",0.88,,0.83,,0.78,,0.73,,0.7,,0.66,,0.63,,0.62,,0.61,,0.6,
,,Weapons,,631,1.88,,1.66,,1.5,,1.41,,1.35,,1.25,,1.14,,1.11,,1.06,,1.04,
,,Other public order,,860,0.98,,0.95,,0.9,,0.86,,0.82,,0.78,,0.75,,0.74,,0.73,,0.72,
Type of prison admission,,,,,,,,,,,,,,,,,,,,,,,,
,New court commitment,,,"1,242",0.36,%,0.36,%,0.35,%,0.34,%,0.32,%,0.31,%,0.31,%,0.3,%,0.3,%,0.29,%
,Conditional release violation,,,"1,232",0.68,,0.58,,0.52,,0.47,,0.43,,0.41,,0.39,,0.38,,0.38,,0.37,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,,
