Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at04.csv,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Standard errors for table 6: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by number of prior arrests, age at first arrest, and year following release",,,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Standard errors for table 6: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by number of prior arrests, age at first arrest, and year following release",,,,,,,,,,,,,,,,,,,,,,,
,,,Number of released prisoners,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,99,0.32,%,0.3,%,0.28,%,0.27,%,0.25,%,0.24,%,0.24,%,0.23,%,0.23,%,0.23,%
Number of prior arrests,,,,,,,,,,,,,,,,,,,,,,,
,4 or fewer,,842,0.48,%,0.53,%,0.54,%,0.53,%,0.52,%,0.51,%,0.51,%,0.5,%,0.49,%,0.49,%
,,2 or fewer,544,0.63,,0.72,,0.74,,0.75,,0.75,,0.75,,0.74,,0.74,,0.74,,0.73,
,,3–4,705,0.69,,0.75,,0.74,,0.72,,0.7,,0.68,,0.67,,0.66,,0.65,,0.64,
,5–9,,"1,134",0.54,,0.55,,0.52,,0.5,,0.48,,0.46,,0.45,,0.44,,0.43,,0.42,
,10 or more,,"1,211",0.52,,0.46,,0.41,,0.38,,0.35,,0.34,,0.33,,0.32,,0.32,,0.31,
Age at first arrest ,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,,"1,267",0.64,%,0.57,%,0.51,%,0.47,%,0.43,%,0.4,%,0.39,%,0.38,%,0.37,%,0.36,%
,18–19,,"1,280",0.59,,0.54,,0.5,,0.47,,0.43,,0.41,,0.4,,0.39,,0.38,,0.37,
,20–24,,"1,097",0.66,,0.64,,0.61,,0.58,,0.56,,0.54,,0.53,,0.52,,0.51,,0.51,
,25–29,,655,1.09,,1.11,,1.08,,1.06,,1.04,,1.02,,1,,0.99,,0.99,,0.98,
,30–34,,446,1.58,,1.61,,1.58,,1.55,,1.51,,1.47,,1.44,,1.43,,1.41,,1.39,
,35–39,,309,1.9,,1.94,,2.02,,2.07,,2.06,,2.05,,2.04,,2.03,,2.02,,2.01,
,40 or older,,281,1.92,,2.08,,2.16,,2.14,,2.12,,2.11,,2.1,,2.1,,2.11,,2.1,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,
