Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at06.csv,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Standard errors for table 8: Cumulative percent of state prisoners released in 18 states in 2008 who returned to prison for a parole or probation violation or an arrest that led to a new sentence, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Standard errors for table 8: Cumulative percent of state prisoners released in 18 states in 2008 who returned to prison for a parole or probation violation or an arrest that led to a new sentence, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,0.35,%,0.35,%,0.35,%,0.35,%,0.35,%,0.34,%,0.34,%,0.34,%,0.34,%,0.34,%
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,,0.39,%,0.39,%,0.39,%,0.39,%,0.38,%,0.38,%,0.38,%,0.38,%,0.38,%,0.38,%
,Female,,0.38,,0.4,,0.41,,0.41,,0.42,,0.42,,0.42,,0.42,,0.42,,0.42,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,
,White,,0.54,%,0.54,%,0.54,%,0.53,%,0.52,%,0.52,%,0.52,%,0.51,%,0.51,%,0.51,%
,Black,,0.58,,0.59,,0.57,,0.56,,0.55,,0.55,,0.54,,0.54,,0.53,,0.53,
,Hispanic,,0.89,,0.9,,0.9,,0.89,,0.88,,0.87,,0.87,,0.87,,0.86,,0.86,
,American Indian/Alaska Native,,2.74,,2.7,,2.65,,2.61,,2.58,,2.56,,2.55,,2.53,,2.47,,2.46,
,Asian/Native Hawaiian/Other Pacific Islander,,7.11,,6.73,,6.53,,6.5,,6.4,,6.39,,6.39,,6.38,,6.31,,6.2,
,Other,,5.87,,6.1,,6.04,,6.02,,5.87,,5.86,,5.74,,5.72,,5.72,,5.58,
Age at release,,,,,,,,,,,,,,,,,,,,,,
,24 or younger,,0.94,%,0.93,%,0.91,%,0.89,%,0.87,%,0.86,%,0.85,%,0.84,%,0.84,%,0.83,%
,25–39,,0.51,,0.52,,0.51,,0.5,,0.49,,0.49,,0.48,,0.48,,0.47,,0.47,
,40 or older,,0.62,,0.63,,0.63,,0.63,,0.62,,0.62,,0.62,,0.62,,0.61,,0.61,
,,40–54,0.66,,0.68,,0.67,,0.67,,0.66,,0.66,,0.65,,0.65,,0.65,,0.65,
,,55–64,1.91,,2.02,,2.03,,2.03,,2.02,,2.02,,2.02,,2.02,,2.02,,2.02,
,,65 or older,5.24,,5.16,,5.24,,5.22,,5.2,,5.19,,5.19,,5.18,,5.18,,5.18,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,
