Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Standard errors for table 11: Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years following release, by most serious commitment offense and type of post-release arrest offense",,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Standard errors for table 11: Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years following release, by most serious commitment offense and type of post-release arrest offense",,,,,,,,,,,,,,,,,,,,,,,,,,
,,Post-release arrest offense,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Violent,,,,,,,,,,,Property,,,,,,,,,,,
Most serious commitment offense,,Any,,Total violent,,Homicide,,Rape/sexual assault,,Robbery,,Assault,,,Total property,,Burglary,,Larceny/motor vehicle theft,,Fraud/ forgery,,Drug,,Public order,
,All released prisoners,0.23,%,0.33,%,0.08,%,0.11,%,0.19,%,0.31,%,,0.33,%,0.25,%,0.3,%,0.25,%,0.33,%,0.27,%
Violent,,0.46,%,0.62,%,0.18,%,0.24,%,0.39,%,0.62,%,,0.62,%,0.46,%,0.53,%,0.43,%,0.62,%,0.54,%
,Homicide,0.14,,0.12,,0.04,,0.03,,0.05,,0.1,,,0.1,,0.05,,0.08,,0.06,,0.11,,0.13,
,Rape/sexual assault,0.08,,0.07,,0.01,,0.04,,0.03,,0.06,,,0.07,,0.03,,0.05,,0.04,,0.06,,0.08,
,Robbery,0.92,,1.28,,0.3,,0.49,,0.94,,1.25,,,1.27,,0.97,,1.17,,0.94,,1.28,,1.12,
,Assault,0.9,,1.22,,0.4,,0.43,,0.69,,1.22,,,1.22,,0.91,,1.01,,0.83,,1.2,,1.04,
Property,,0.39,%,0.62,%,0.13,%,0.2,%,0.38,%,0.59,%,,0.59,%,0.56,%,0.62,%,0.54,%,0.62,%,0.51,%
,Burglary,0.64,,1,,0.17,,0.34,,0.61,,0.95,,,0.97,,0.94,,0.99,,0.82,,1.01,,0.84,
,Larceny/motor vehicle theft,0.71,,1.19,,0.29,,0.43,,0.78,,1.12,,,1.1,,1.06,,1.19,,1.05,,1.18,,0.95,
,Fraud/forgery,0.89,,1.2,,0.29,,0.25,,0.67,,1.16,,,1.18,,0.92,,1.17,,1.17,,1.22,,1.1,
Drug,,0.44,%,0.59,%,0.13,%,0.18,%,0.33,%,0.56,%,,0.6,%,0.41,%,0.51,%,0.45,%,0.59,%,0.53,%
Public order,,0.6,%,0.87,%,0.19,%,0.29,%,0.46,%,0.84,%,,0.87,%,0.55,%,0.74,%,0.61,%,0.87,%,0.73,%
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,
