Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at08.csv,,,,,,,,,,,,,,,,,,,,,,
Appendix table 8. Standard errors for table 12: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release for a type of offense that was the same as or different from the most serious commitment offense,,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Appendix table 8. Standard errors for table 12: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release for a type of offense that was the same as or different from the most serious commitment offense,,,,,,,,,,,,,,,,,,,,,,
Most serious commitment offense,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
Any arrest after release,,,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.32,%,0.3,%,0.28,%,0.27,%,0.25,%,0.24,%,0.24,%,0.23,%,0.23,%,0.23,%
,,Violent,0.63,,0.6,,0.57,,0.54,,0.51,,0.49,,0.48,,0.47,,0.47,,0.46,
,,Property,0.62,,0.56,,0.51,,0.48,,0.44,,0.42,,0.41,,0.4,,0.39,,0.39,
,,Drug,0.61,,0.58,,0.55,,0.52,,0.5,,0.48,,0.46,,0.45,,0.45,,0.44,
,,Public order,0.88,,0.83,,0.78,,0.73,,0.7,,0.66,,0.63,,0.62,,0.61,,0.6,
Arrest after release for violent offense,,,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.2,%,0.25,%,0.28,%,0.3,%,0.31,%,0.32,%,0.32,%,0.32,%,0.33,%,0.33,%
,,Violent,0.42,,0.51,,0.58,,0.6,,0.62,,0.62,,0.62,,0.63,,0.63,,0.62,
,,Property,0.36,,0.46,,0.51,,0.55,,0.57,,0.59,,0.6,,0.61,,0.62,,0.62,
,,Drug,0.35,,0.42,,0.48,,0.52,,0.54,,0.56,,0.58,,0.58,,0.59,,0.59,
,,Public order,0.55,,0.68,,0.76,,0.79,,0.82,,0.84,,0.85,,0.86,,0.87,,0.87,
Arrest after release for same type of offense as most serious commitment offense,,,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.28,%,0.32,%,0.33,%,0.33,%,0.33,%,0.32,%,0.32,%,0.32,%,0.32,%,0.31,%
,,Violent,0.42,,0.51,,0.58,,0.6,,0.62,,0.62,,0.62,,0.63,,0.63,,0.62,
,,Property,0.55,,0.6,,0.62,,0.62,,0.62,,0.61,,0.61,,0.6,,0.59,,0.59,
,,Drug,0.51,,0.58,,0.6,,0.61,,0.61,,0.61,,0.6,,0.6,,0.59,,0.59,
,,Public order,0.86,,0.88,,0.85,,0.83,,0.81,,0.79,,0.77,,0.75,,0.74,,0.73,
Arrest after release for different type of offense from most serious commitment offense,,,,,,,,,,,,,,,,,,,,,,
,All released prisoners,,0.32,%,0.31,%,0.3,%,0.29,%,0.28,%,0.27,%,0.27,%,0.26,%,0.26,%,0.26,%
,,Violent,0.63,,0.61,,0.59,,0.56,,0.54,,0.53,,0.52,,0.51,,0.5,,0.49,
,,Property,0.62,,0.59,,0.55,,0.52,,0.49,,0.47,,0.45,,0.44,,0.43,,0.43,
,,Drug,0.61,,0.6,,0.58,,0.56,,0.54,,0.52,,0.51,,0.5,,0.49,,0.48,
,,Public order,0.81,,0.87,,0.87,,0.86,,0.85,,0.82,,0.81,,0.79,,0.78,,0.77,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,
