Bureau of Justice Statistics,,,,,,,,,,
Filename: rpr24s0810yfup0818at09.csv,,,,,,,,,,
"Appendix table 9. Standard errors for table 13: Time served before first release among state prisoners released in 24 states in 2008, by most serious commitment offense",,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,
,,,,,,,,,,
"Appendix table 9. Standard errors for table 13: Time served before first release among state prisoners released in 24 states in 2008, by most serious commitment offense",,,,,,,,,,
,,,Most serious commitment offense,,,,,,,
Time served in prison,All first releases,,Violent,,Property,,Drug,,Public order,
6 months or less,0.31,%,0.49,%,0.63,%,0.57,%,0.85,%
7–12,0.33,,0.52,,0.65,,0.63,,0.88,
13–18,0.26,,0.46,,0.48,,0.53,,0.66,
19–24,0.22,,0.45,,0.4,,0.4,,0.59,
25–36,0.22,,0.43,,0.41,,0.39,,0.59,
37–60 ,0.21,,0.48,,0.37,,0.34,,0.55,
61–80,0.13,,0.34,,0.21,,0.19,,0.32,
81 or more,0.14,,0.42,,0.22,,0.19,,0.32,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,
