Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at10.csv,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Standard errors for table 15: Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years, by most serious commitment offense and time served in prison",,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Standard errors for table 15: Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years, by most serious commitment offense and time served in prison",,,,,,,,,,,,,,,,,,,
,,Percent of released prisoners who were arrested within 10 years after serving—,,,,,,,,,,,,61 or more,,,,,
Most serious commitment offense,,6 months or less,,7–12,,13–18,,19–24,,25–36,,37–60,,Total,,61–80,,81 or more,
,All first releases,0.68,%,0.63,%,0.8,%,0.91,%,0.82,%,0.87,%,0.9,%,1.59,%,1.08,%
Violent,,1.68,%,1.74,%,1.95,%,2.05,%,1.43,%,1.31,%,1.05,%,2.31,%,1.15,%
,Murder/nonnegligent manslaughter,2.18,,3.06,,2.89,,3.04,,2.36,,1.51,,0.55,,1.85,,0.58,
,Rape/sexual assault,0.92,,0.84,,0.88,,0.75,,0.68,,0.51,,0.37,,0.74,,0.43,
,Robbery,3.83,,3.4,,4.72,,3.84,,2.97,,2.61,,2.37,,3.69,,2.93,
,Assault,2.36,,2.49,,2.96,,3.79,,2.12,,2.96,,3.85,,6.71,,4.52,
Property,,1.03,%,1.02,%,1.27,%,1.44,%,1.54,%,1.86,%,2.08,%,^,,^,
,Burglary,1.92,,2.18,,2.06,,1.56,,1.86,,2.79,,2.8,,^,,^,
,Larceny/motor vehicle theft,1.86,,1.7,,2.47,,3.82,,2.96,,3.9,,4.43,,^,,^,
,Fraud/forgery,1.98,,1.56,,2.55,,2.46,,5.14,,4.02,,6.25,,^,,^,
Drug ,,1.22,%,1.1,%,1.5,%,1.73,%,1.62,%,1.76,%,2.77,%,^,,^,
Public order,,1.88,%,1.51,%,1.81,%,1.95,%,2.16,%,2.65,%,3.9,%,^,,^,
^Too few sample cases to form reliable estimates.,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,
