Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at11.csv,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Standard errors for table 16: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested outside of the state of release, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Standard errors for table 16: Cumulative percent of state prisoners released in 24 states in 2008 who were arrested outside of the state of release, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,0.1,%,0.13,%,0.15,%,0.17,%,0.18,%,0.19,%,0.2,%,0.21,%,0.22,%,0.23,%
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,,0.11,%,0.14,%,0.17,%,0.19,%,0.2,%,0.22,%,0.23,%,0.24,%,0.25,%,0.25,%
,Female,,0.1,,0.13,,0.15,,0.17,,0.19,,0.2,,0.21,,0.22,,0.23,,0.24,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,
,White,,0.16,%,0.21,%,0.25,%,0.28,%,0.3,%,0.31,%,0.32,%,0.34,%,0.35,%,0.36,%
,Black,,0.15,,0.2,,0.23,,0.26,,0.28,,0.3,,0.32,,0.34,,0.35,,0.36,
,Hispanic,,0.22,,0.27,,0.34,,0.38,,0.42,,0.45,,0.48,,0.5,,0.52,,0.53,
,American Indian/Alaska Native,,0.76,,0.87,,1.02,,1.07,,1.11,,1.19,,1.22,,1.28,,1.31,,1.34,
,Asian/Native Hawaiian/Other Pacific Islander,,0.16,,0.48,,0.64,,0.84,,0.91,,1.03,,1.17,,2.35,,2.35,,2.35,
,Other,,1.95,,2.11,,2.29,,2.92,,2.96,,2.99,,3,,3.03,,3.45,,3.45,
Age at release,,,,,,,,,,,,,,,,,,,,,,
,24 or younger,,0.24,%,0.31,%,0.37,%,0.42,%,0.46,%,0.49,%,0.51,%,0.55,%,0.59,%,0.59,%
,25–39,,0.15,,0.19,,0.23,,0.26,,0.27,,0.29,,0.3,,0.32,,0.33,,0.34,
,40 or older,,0.15,,0.19,,0.23,,0.25,,0.28,,0.3,,0.32,,0.32,,0.33,,0.34,
,,40–54,0.16,,0.21,,0.25,,0.27,,0.31,,0.33,,0.35,,0.35,,0.36,,0.38,
,,55–64,0.3,,0.4,,0.58,,0.6,,0.64,,0.65,,0.76,,0.77,,0.78,,0.78,
,,65 or older,0.69,,1.09,,1.09,,1.11,,1.11,,1.16,,1.17,,1.17,,1.17,,1.17,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,
