Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: rpr24s0810yfup0818at12.csv,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 17: Annual arrest percentage of state prisoners released in 24 states in 2008, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,,,,,,,,,,,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/8/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 17: Annual arrest percentage of state prisoners released in 24 states in 2008, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,,Year 1,,Year 2,,Year 3,,Year 4,,Year 5,,Year 6,,Year 7,,Year 8,,Year 9,,Year 10,
,All released prisoners,,0.32,%,0.32,%,0.32,%,0.32,%,0.31,%,0.31,%,0.3,%,0.3,%,0.29,%,0.29,%
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,,0.36,%,0.36,%,0.36,%,0.35,%,0.35,%,0.34,%,0.34,%,0.33,%,0.33,%,0.32,%
,Female,,0.37,,0.36,,0.36,,0.35,,0.35,,0.35,,0.34,,0.33,,0.31,,0.31,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,
,White,,0.48,%,0.48,%,0.48,%,0.47,%,0.46,%,0.46,%,0.45,%,0.45,%,0.44,%,0.43,%
,Black,,0.5,,0.51,,0.5,,0.5,,0.49,,0.47,,0.47,,0.46,,0.46,,0.44,
,Hispanic,,0.9,,0.88,,0.86,,0.85,,0.83,,0.83,,0.81,,0.82,,0.8,,0.76,
,American Indian/Alaska Native,,2.54,,2.59,,2.53,,2.32,,2.21,,2.4,,2.45,,2.15,,2.12,,2.37,
,Asian/Native Hawaiian/Other Pacific Islander,,3.73,,3.85,,3.41,,3.46,,3.7,,3.72,,3.42,,3.11,,3.02,,3.52,
,Other,,5.35,,5.13,,4.9,,5.44,,5.13,,5.04,,4.68,,4.56,,4.69,,3.61,
Age at release,,,,,,,,,,,,,,,,,,,,,,
,24 or younger,,0.83,%,0.83,%,0.82,%,0.81,%,0.8,%,0.8,%,0.78,%,0.79,%,0.78,%,0.76,%
,25–39,,0.46,,0.46,,0.46,,0.46,,0.45,,0.44,,0.44,,0.44,,0.43,,0.42,
,40 or older,,0.57,,0.56,,0.54,,0.54,,0.53,,0.53,,0.51,,0.49,,0.48,,0.47,
,,40–54,0.61,,0.6,,0.58,,0.58,,0.57,,0.57,,0.55,,0.54,,0.53,,0.51,
,,55–64,1.8,,1.67,,1.6,,1.34,,1.41,,1.42,,1.14,,1,,0.58,,0.74,
,,65 or older,4.48,,4.83,,4.36,,4.02,,3.01,,1.15,,3.12,,2.31,,2.54,,2.32,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,,,,,,,,,,,,,,,,
