Bureau of Justice Statistics,,
Filename: rpr24s0810yfup0818f01.csv,,
Figure 1. Annual arrest percentage of state prisoners released in 24 states in 2008,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,
Date of version: 9/8/2021,,
,,
Figure 1. Annual arrest percentage of state prisoners released in 24 states in 2008,,
Year after release,Percent,
Year 1,42.9,%
Year 2,35.7,
Year 3,32.9,
Year 4,31,
Year 5,29,
Year 6,27.6,
Year 7,25.4,
Year 8,24.2,
Year 9,23,
Year 10,21.9,
"Note: Prisoners could have been arrested multiple times after release (e.g., a prisoner arrested in Year 1 and Year 3 is included in percentages for both years). See table 17 for estimates and appendix table 12 for standard errors. ",,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,
