Bureau of Justice Statistics,,,,,,
Filename: rpr24s0810yfup0818f02.csv,,,,,,
"Figure 2. Cumulative percent of state prisoners released in 2008 who had a new arrest, conviction, or return to prison after release, by year following release",,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 9/8/2021,,,,,,
,,,,,,
"Figure 2. Cumulative percent of state prisoners released in 2008 who had a new arrest, conviction, or return to prison after release, by year following release",,,,,,
Year of release,Arrest/a,,Conviction/b,,Return to prison/c,
1st,42.9,%,24.4,%,30.7,%
2nd,58,,38.4,,42.8,
3rd,66.2,,47.9,,48.6,
4th,71.2,,54.3,,52.3,
5th,74.8,,59,,55,
6th,77.3,,62.3,,56.9,
7th,79,,64.7,,58.4,
8th,80.2,,66.4,,59.3,
9th,81.1,,67.7,,60.1,
10th,81.9,,68.8,,60.7,
"Note: See tables 4, 7, and 8 for estimates and appendix tables 2, 5, and 6 for standard errors.",,,,,,
a/Estimates are based on prisoners released across the 24 states in the study who had a new arrest.,,,,,,
b/Estimates are based on prisoners released across the 22 states that could provide the necessary court data. ,,,,,,
c/Estimates are based on prisoners released across the 18 states that could provide the necessary data on persons returned to prison for a probation or parole violation or an arrest that led to a new sentence. ,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,
