Bureau of Justice Statistics,,,,
Filename: rpr24s0810yfup0818f03.csv,,,,
"Figure 3. Annual arrest percentage of state prisoners released in 24 states in 2008, by sex",,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,
Date of version: 9/8/2021,,,,
,,,,
"Figure 3. Annual arrest percentage of state prisoners released in 24 states in 2008, by sex",,,,
,Percent of released prisoners arrested,,,
Year after release,Male,,Female,
1st,43.9,%,34.4,%
2nd,36.4,,30.4,
3rd,33.4,,28.9,
4th,31.4,,27.3,
5th,29.3,,26.9,
6th,27.9,,25.4,
7th,25.7,,23,
8th,24.6,,21.3,
9th,23.4,,19.2,
10th,22.3,,18.8,
"Note: Prisoners could have been arrested multiple times after release (e.g., a prisoner arrested in Year 1 and Year 3 is included in percentages for both years). See table 17 for estimates and appendix table 12 for standard errors.",,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,
