Bureau of Justice Statistics,,,,,
Filename: rpr24s0810yfup0818t02.csv,,,,,
Table 2. Most serious commitment offense of state prisoners released in 24 states in 2008,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,
Date of version: 9/8/2021,,,,,
,,,,,
Table 2. Most serious commitment offense of state prisoners released in 24 states in 2008,,,,,
Most serious commitment offense,,Percent,,Standard error,
,All released prisoners,100,%,~,
Violent,,24.5,%,0.27,%
,Homicide,1.8,,<0.01,
,Rape/sexual assault,4.3,,<0.01,
,Robbery,7,,0.17,
,Assault,8.9,,0.21,
,Other violent,2.5,,0.11,
Property,,29.6,%,0.3,%
,Burglary,11.1,,0.21,
,Larceny/motor vehicle theft,9.7,,0.22,
,Fraud/forgery,4.9,,0.12,
,Other property,3.7,,0.12,
Drug,,30.3,%,0.31,%
,Possession,11.3,,0.23,
,Trafficking,12.5,,0.23,
,Other drug,6.4,,0.08,
Public order,,15.7,%,0.25,%
,Weapons,4.3,,0.15,
,Other public order,11.4,,0.21,
,Number of released prisoners,"409,300",,99,
"Note: For prisoners serving time for more than one offense, the most serious offense is the one with the longest sentence length. The number of released prisoners is rounded to the nearest 100. Details may not sum to totals due to rounding.",,,,,
~Not applicable.,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,
