Bureau of Justice Statistics,,,,,,
Filename: rpr24s0810yfup0818t03.csv,,,,,,
Table 3. Prior criminal history of state prisoners released in 24 states in 2008,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 9/8/2021,,,,,,
,,,,,,
Table 3. Prior criminal history of state prisoners released in 24 states in 2008,,,,,,
,,,Percent,,Standard error,
,All released prisoners,,100,%,~,
Number of prior arrests/a,,,,,,
,4 or fewer,,21.5,%,0.21,%
,,2 or fewer,9.3,,0.13,
,,3–4,12.3,,0.17,
,5–9,,29.6,,0.28,
,10 or more,,48.9,,0.29,
,Median,,9, arsts.,~,
,Mean,,12.1,,0.08, arsts.
Prior convictions/b,,,,,,
,Median,,5,,~,
,Mean,,5.8,,0.03,
Age at first arrest,,,,,,
,17 or younger,,29.4,%,0.31,%
,18–19,,32.9,,0.31,
,20–24,,23,,0.27,
,25–29,,7.6,,0.16,
,30–34,,3.6,,0.11,
,35–39,,1.9,,0.08,
,40 or older,,1.7,,0.07,
Note: Data on prisoners’ age at first arrest were reported for over 99% of cases. Some juvenile offenses may not be accounted for in the analysis for persons not prosecuted as an adult or due to state laws and practices regarding record sealing or expungement. Percentages exclude missing data. Details may not sum to totals due to rounding.,,,,,,
~Not applicable.,,,,,,
a/Includes arrests in the prisoners’ criminal history and the arrest that resulted in the imprisonment.,,,,,,
b/Includes convictions prior to the prisoners’ date of release in 2008 and the conviction that resulted in the imprisonment.,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,
