Bureau of Justice Statistics,,,,,,,
Filename: rpr24s0810yfup0818t09.csv,,,,,,,
"Table 9. Post-release arrests of state prisoners released in 24 states in 2008, by year of arrest",,,,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 9/8/2021,,,,,,,
,,,,,,,
"Table 9. Post-release arrests of state prisoners released in 24 states in 2008, by year of arrest",,,,,,,
,,,,,Standard error,,
,,Number of arrests,Percent of arrests,,Number of arrests,Percent of arrests,
,Total,"2,197,000",100,%,"21,427",~,
Year 1,,"301,000",13.7,,"3,377",0.15,%
Year 2,,"254,000",11.6,,"3,419",0.14,
Year 3,,"235,000",10.7,,"3,398",0.14,
Year 4,,"229,000",10.4,,"3,514",0.13,
Year 5,,"224,000",10.2,,"3,890",0.14,
Year 6,,"215,000",9.8,,"3,869",0.14,
Year 7,,"199,000",9,,"3,973",0.14,
Year 8,,"188,000",8.5,,"3,893",0.14,
Year 9,,"184,000",8.4,,"3,817",0.14,
Year 10,,"169,000",7.7,,"3,552",0.14,
"Note: Persons could have been arrested more than once for different types of offenses, and each arrest may involve more than one offense. The number of post-release arrests is rounded to the nearest 1,000. Details may not sum to totals due to rounding. ",,,,,,,
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,,,
