Bureau of Justice Statistics,,,,,
Filename: rpr24s0810yfup0818t10.csv,,,,,
"Table 10. Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years following release, by type of post-release arrest offense",,,,,
Report title: Recidivism of Prisoners Released in 24 States in 2008: A 10-Year Follow-Up Period (2008–2018)  NCJ 256094,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018",,,,,
"Authors: Leonardo Antenangeli, Ph.D., and Matthew R. Durose, BJS Statisticians",,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,
Date of version: 9/8/2021,,,,,
,,,,,
"Table 10. Percent of state prisoners released in 24 states in 2008 who were arrested within 10 years following release, by type of post-release arrest offense",,,,,
Post-release arrest offense,,Percent,,Standard error,
,Any,81.9,%,0.23,%
Violent,,39.6,%,0.33,%
,Homicide,1.2,,0.08,
,Rape/sexual assault,2.5,,0.11,
,Robbery,7.4,,0.19,
,Assault,31.3,,0.31,
,Other violent,13.5,,0.24,
Property,,47.4,%,0.33,%
,Burglary,14.5,,0.25,
,Larceny/motor vehicle theft,28.9,,0.3,
,Fraud/forgery,16,,0.25,
,Other property,28.2,,0.31,
Drug,,47.1,%,0.33,%
,Possession,31.7,,0.31,
,Trafficking,17.5,,0.27,
,Other drug,28.3,,0.3,
Public order,,68.3,%,0.27,%
,Weapons,14.4,,0.26,
,DUI/DWI,14.2,,0.24,
,Other public order,63.4,,0.28,
,Number of released prisoners,"409,300",,99,
Note: Details may not sum to totals because a person may be arrested for more than one offense. The number of released prisoners is rounded to the nearest 100.,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2008 data collection, 2008–2018.",,,,,
