"Table 16. Cumulative percent of state prisoners released in 24 states in 2008 who were arrested outside of the state of release, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,
Characteristic,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,3,5.2,7.2,8.9,10.3,11.6,12.8,13.9,15,15.9
Sex,,,,,,,,,,,,
,Male*,,3.1,5.4,7.4,9.1,10.6,11.9,13.2,14.3,15.3,16.3
,Female,,2.1,3.9,5.5,6.8,8.2,9.3,10.2,11.2,11.9,12.8
Race/ethnicity,,,,,,,,,,,,
,White/a*,,3.8,6.5,8.8,10.7,12.3,13.7,15,16.2,17.3,18.5
,Black/a,,2.6,4.8,6.7,8.3,9.8,11.1,12.4,13.4,14.5,15.5
,Hispanic,,2.1,3.4,5.2,6.5,7.5,8.7,9.6,10.5,11.3,11.9
,American Indian/Alaska Native/a,,4.6,7.1,9.9,11.2,12.4,14,15,16.5,17.2,17.8
,Asian/Native Hawaiian/Other Pacific Islander/a,,0.7,1.7,2.5,4.1,4.9,6,6.9,10.1,10.1,10.4
,"Other/a,b",,4,6.6,8.1,10.9,12.4,13.2,13.4,14.2,16.2,16.3
Age at release,,,,,,,,,,,,
,24 or younger*,,3.1,5.4,7.3,9.4,11.1,12.6,14,15.5,17.2,18.1
,25-39,,3.4,5.9,8.2,10.1,11.7,13.1,14.3,15.7,16.8,17.9
,40 or older,,2.3,4.1,5.7,6.9,8,9.1,10.1,10.7,11.2,11.9
,,40-54,2.4,4.3,5.9,7.2,8.4,9.6,10.6,11.2,11.8,12.6
,,55-64,1.6,2.8,4,4.6,5.4,5.7,6.6,6.9,7.2,7.3
,,65 or older,1,2.5,2.6,3,3.1,3.5,3.8,3.9,3.9,3.9
