"Table 17. Annual arrest percentage of state prisoners released in 24 states in 2008, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,
Characteristic,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,42.9,35.7,32.9,31,29,27.6,25.4,24.2,23,21.9
Sex,,,,,,,,,,,,
,Male,,43.9,36.4,33.4,31.4,29.3,27.9,25.7,24.6,23.4,22.3
,Female,,34.4,30.4,28.9,27.3,26.9,25.4,23,21.3,19.2,18.8
Race/ethnicity,,,,,,,,,,,,
,White/a,,39.6,34.5,32.4,30.3,28.9,27.1,25.3,24.3,22.6,22.2
,Black/a,,45.2,38,34.8,32.9,30.4,28.5,26.1,24.4,23.8,22.5
,Hispanic,,44.2,34.1,30.6,28.7,26.9,26.8,24.3,23.8,22.2,20.4
,American Indian/Alaska Native/a,,50.7,40.3,36.1,32.5,29.1,32.3,30.5,26.2,23.7,26.8
,Asian/Native Hawaiian/Other Pacific Islander/a,,41.3,34,29.2,29.3,26.9,25.3,24.5,21.6,19.3,22.8
,"Other/a,b",,44.6,32.3,28.2,36.5,30.1,26.5,21.4,21.2,20.4,13.3
Age at release,,,,,,,,,,,,
,24 or younger,,49.8,40.4,37.2,34.5,32.5,32.1,29.2,29.2,28.2,27.1
,25-39,,44.1,37.3,34.7,32.8,30.5,28.8,27.1,26.2,24.9,24
,40 or older,,37.9,31.2,28.4,26.8,25.3,23.7,21.2,19.1,17.7,16.7
,,40-54,39.2,32.5,29.6,28.3,26.7,25.2,22.8,20.5,19.4,18.1
,,55-64,28.5,21.2,19.8,15,15.3,13.6,9.6,8.4,5.2,5.3
,,65 or older,22.9,22.3,14.6,11.8,7.3,3.3,7.4,3.4,4.9,3.9
