"","Year","Category","Value"
"1",2009,"All.released.prisoners",42.9
"2",2009,"Male.",43.9
"3",2009,"Female",34.4
"4",2009,"White.a.",39.6
"5",2009,"Black.a",45.2
"6",2009,"Hispanic",44.2
"7",2009,"American.Indian.Alaska.Native.a",50.7
"8",2009,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",41.3
"9",2009,"Other.a.b",44.6
"10",2009,"X24.or.younger",49.8
"11",2009,"X25.39",44.1
"12",2009,"X40.54",39.2
"13",2009,"X55.64",28.5
"14",2009,"X65.or.older",22.9
"15",2010,"All.released.prisoners",58
"16",2010,"Male.",59.2
"17",2010,"Female",48.8
"18",2010,"White.a.",54.8
"19",2010,"Black.a",61.4
"20",2010,"Hispanic",57.8
"21",2010,"American.Indian.Alaska.Native.a",65.7
"22",2010,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",57.2
"23",2010,"Other.a.b",57.4
"24",2010,"X24.or.younger",66.8
"25",2010,"X25.39",60.3
"26",2010,"X40.54",52.6
"27",2010,"X55.64",37.3
"28",2010,"X65.or.older",33.6
"29",2011,"All.released.prisoners",66.2
"30",2011,"Male.",67.3
"31",2011,"Female",57
"32",2011,"White.a.",63.2
"33",2011,"Black.a",69.7
"34",2011,"Hispanic",65.4
"35",2011,"American.Indian.Alaska.Native.a",72.8
"36",2011,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",63.5
"37",2011,"Other.a.b",63
"38",2011,"X24.or.younger",75
"39",2011,"X25.39",68.7
"40",2011,"X40.54",60.7
"41",2011,"X55.64",43.6
"42",2011,"X65.or.older",36
"43",2012,"All.released.prisoners",71.2
"44",2012,"Male.",72.3
"45",2012,"Female",62.3
"46",2012,"White.a.",68.4
"47",2012,"Black.a",75.1
"48",2012,"Hispanic",69.6
"49",2012,"American.Indian.Alaska.Native.a",76.3
"50",2012,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",67.2
"51",2012,"Other.a.b",67.1
"52",2012,"X24.or.younger",79.5
"53",2012,"X25.39",73.8
"54",2012,"X40.54",66
"55",2012,"X55.64",47.2
"56",2012,"X65.or.older",37.3
"57",2013,"All.released.prisoners",74.8
"58",2013,"Male.",75.9
"59",2013,"Female",66.3
"60",2013,"White.a.",72.3
"61",2013,"Black.a",78.6
"62",2013,"Hispanic",72.8
"63",2013,"American.Indian.Alaska.Native.a",78.8
"64",2013,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",68.9
"65",2013,"Other.a.b",72.4
"66",2013,"X24.or.younger",82.7
"67",2013,"X25.39",77.6
"68",2013,"X40.54",69.6
"69",2013,"X55.64",49.9
"70",2013,"X65.or.older",38.4
"71",2014,"All.released.prisoners",77.3
"72",2014,"Male.",78.3
"73",2014,"Female",69.6
"74",2014,"White.a.",75
"75",2014,"Black.a",81.1
"76",2014,"Hispanic",75.3
"77",2014,"American.Indian.Alaska.Native.a",80.8
"78",2014,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",70.2
"79",2014,"Other.a.b",74.3
"80",2014,"X24.or.younger",85.2
"81",2014,"X25.39",80
"82",2014,"X40.54",72.3
"83",2014,"X55.64",52.6
"84",2014,"X65.or.older",38.5
"85",2015,"All.released.prisoners",79
"86",2015,"Male.",79.9
"87",2015,"Female",71.6
"88",2015,"White.a.",76.9
"89",2015,"Black.a",82.7
"90",2015,"Hispanic",76.7
"91",2015,"American.Indian.Alaska.Native.a",82.1
"92",2015,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",70.8
"93",2015,"Other.a.b",74.4
"94",2015,"X24.or.younger",86.8
"95",2015,"X25.39",81.6
"96",2015,"X40.54",74.1
"97",2015,"X55.64",54.1
"98",2015,"X65.or.older",39.5
"99",2016,"All.released.prisoners",80.2
"100",2016,"Male.",81
"101",2016,"Female",73.2
"102",2016,"White.a.",78.3
"103",2016,"Black.a",83.7
"104",2016,"Hispanic",77.5
"105",2016,"American.Indian.Alaska.Native.a",83.1
"106",2016,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",73.2
"107",2016,"Other.a.b",77
"108",2016,"X24.or.younger",87.8
"109",2016,"X25.39",82.9
"110",2016,"X40.54",75.4
"111",2016,"X55.64",54.9
"112",2016,"X65.or.older",39.7
"113",2017,"All.released.prisoners",81.1
"114",2017,"Male.",82
"115",2017,"Female",74.4
"116",2017,"White.a.",79.4
"117",2017,"Black.a",84.7
"118",2017,"Hispanic",78.3
"119",2017,"American.Indian.Alaska.Native.a",84.3
"120",2017,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",73.8
"121",2017,"Other.a.b",77.2
"122",2017,"X24.or.younger",88.6
"123",2017,"X25.39",83.9
"124",2017,"X40.54",76.3
"125",2017,"X55.64",55.6
"126",2017,"X65.or.older",39.9
"127",2018,"All.released.prisoners",81.9
"128",2018,"Male.",82.7
"129",2018,"Female",75.5
"130",2018,"White.a.",80.2
"131",2018,"Black.a",85.6
"132",2018,"Hispanic",78.9
"133",2018,"American.Indian.Alaska.Native.a",84.7
"134",2018,"Asian.Native.Hawaiian.Other.Pacific.Islander.a",74.4
"135",2018,"Other.a.b",77.3
"136",2018,"X24.or.younger",89.5
"137",2018,"X25.39",84.7
"138",2018,"X40.54",77.2
"139",2018,"X55.64",56.1
"140",2018,"X65.or.older",40.1
