"Table 5. Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by most serious commitment offense, type of prison admission, and year following release",,,,,,,,,,,,,,
,,,,Number of released prisoners,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,,"409,300",42.9,58,66.2,71.2,74.8,77.3,79,80.2,81.1,81.9
Most serious commitment offense,,,,,,,,,,,,,,
,Violent,,,"100,100",38.4,52.6,60.7,65.6,69.4,71.8,73.5,74.8,75.7,76.7
,,Homicide/a,,"7,300",22.1,33.5,40.4,45.1,48.8,51.3,53.4,54.9,56.3,57.4
,,,Murder/nonnegligent manslaughter,"4,700",21.1,32.5,39.6,44.1,47.6,50.1,52.1,53.8,55.1,56.1
,,,Negligent manslaughter,"2,400",24.3,35.9,42.3,47.2,51.1,53.9,56.1,57.3,58.7,60
,,Rape/sexual assault,,"17,600",27.6,39.2,45.9,50.5,54.1,56.5,58.7,60.4,61.7,62.8
,,Robbery,,"28,700",40.2,56.6,64.6,70.4,75.2,77.8,79.6,80.6,81.4,82.5
,,Assault,,"36,400",44.8,59.6,68,72.7,75.7,77.7,79.1,80.4,81.2,82
,,Other violent,,"10,100",41.3,52.7,63.2,66.9,72.2,74.7,76.3,77.3,78.1,79.6
,Property,,,"121,000",49.3,64.6,72.5,77.3,80.8,83,84.2,85.2,86.1,86.7
,,Burglary,,"45,600",47.7,63.8,72,77.6,81.6,83.7,85.1,86.1,87,87.4
,,Larceny/motor vehicle theft,,"39,900",54.7,68.7,76.1,79.6,82.7,84.6,85.4,86.1,86.9,87.6
,,Fraud/forgery,,"20,200",41.7,56.8,65.3,70.7,73.9,76.7,78.5,79.9,81.1,82.2
,,Other property,,"15,200",49.9,67.2,74,79.4,82.9,84.8,86,86.7,87.7,88
,Drug,,,"123,900",40.7,56.2,64.8,70,73.6,76.4,78.2,79.5,80.5,81.4
,,Possession,,"46,500",44.6,59.8,67.8,72.7,76.1,78.9,80.6,81.7,82.4,83
,,Trafficking,,"51,300",40.7,56,64.5,69.7,73.3,76,77.6,78.8,79.9,80.9
,,Other drug,,"26,100",33.8,50.6,59.9,65.8,69.9,72.8,75.1,76.9,78.2,79.4
,Public order,,,"64,300",41.8,57.6,65.8,70.7,74.1,77.2,79.3,80.4,81.5,82.1
,,Weapons,,"17,500",46.6,64.7,72.5,76.8,79.7,82.5,84.7,85.7,86.9,87.4
,,Other public order,,"46,900",40,54.9,63.3,68.5,72.1,75.2,77.3,78.5,79.4,80.1
Type of prison admission/b,,,,,,,,,,,,,,
,New court commitment,,,"266,600",36.8,52.1,61,66.3,70.2,73,74.9,76.2,77.3,78.3
,Conditional release violation,,,"127,400",56.3,71.3,78,82.1,85.2,87,88,89,89.6,90
