"Table 6. Cumulative percent of state prisoners released in 24 states in 2008 who were arrested following release, by number of prior arrests, age at first arrest, and year following release",,,,,,,,,,,,,
,,,Number of released prisoners,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,"409,300",42.9,58,66.2,71.2,74.8,77.3,79,80.2,81.1,81.9
Number of prior arrests/a,,,,,,,,,,,,,
,4 or fewer*,,"88,100",24.3,38,46.5,52.3,56.9,60.3,62.6,64.3,65.9,67.2
,,2 or fewer,"37,900",19.9,31.6,38.8,44.3,48.4,51.7,54.5,56.4,58.3,59.8
,,4-Mar,"50,200",27.6,42.8,52.2,58.4,63.3,66.7,68.7,70.3,71.6,72.8
,9-May,,"121,100",35.9,52.8,62.1,68,72.3,75.3,77.4,78.8,80,80.9
,10 or more,,"200,100",55.2,70,77.4,81.4,84.2,86.1,87.2,88,88.5,89
Age at first arrest/b,,,,,,,,,,,,,
,17 or younger*,,"119,900",51.8,67.8,76,80.6,83.8,86.1,87.3,88.2,89,89.7
,18-19,,"134,100",46,62.2,70.3,75.3,79.3,81.6,83.3,84.3,85.3,86
,20-24,,"93,900",37.2,52.3,61,66.5,70.2,73.1,75.1,76.6,77.6,78.6
,25-29,,"30,900",30.8,44.6,53.1,57.6,61.7,64.6,66.7,68.3,69.4,70.2
,30-34,,"14,700",25.7,36.1,43.8,48.5,52.9,56.4,58.5,60.1,61.6,62.8
,35-39,,"7,600",20.3,28.7,35.4,41.5,44.9,47.2,48.9,50.7,52.6,54
,40 or older,,"7,000",16.3,24.2,30.1,33.1,35.1,36.6,38.3,38.8,40.6,41.3
