"Table 7. Cumulative percent of state prisoners released in 22 states in 2008 who had an arrest after release that led to a conviction, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,
Characteristic,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,24.4,38.4,47.9,54.3,59,62.3,64.7,66.4,67.7,68.8
Sex,,,,,,,,,,,,
,Male*,,25.1,39.2,48.8,55.3,59.9,63.1,65.6,67.3,68.6,69.7
,Female,,19.1,31.6,40,46.3,51.4,55.2,57.8,59.6,60.9,62
Race/ethnicity,,,,,,,,,,,,
,White/a*,,22.6,36.4,45.9,52.4,57.4,60.9,63.5,65.3,66.6,67.9
,Black/a,,27.4,42.2,51.6,58.2,63,66,68.5,70.2,71.6,72.7
,Hispanic,,23.1,36.1,45.7,51.5,55.7,59.2,61.3,62.7,63.9,64.5
,American Indian/Alaska Native/a,,25.9,40.9,51.6,55.5,59.7,63.2,66.6,68,69.3,70.3
,Asian/Native Hawaiian/Other Pacific Islander/a,,14.4,25.8,36.3,42.9,47.9,50.1,52.1,53.6,54.5,55.9
,"Other/a,b",,21.5,34.4,39.4,53.2,56.4,57.6,60.3,62.6,63,63.2
Age at release,,,,,,,,,,,,
,24 or younger*,,30.8,47,57.2,63.7,68.4,71.9,74.5,76,77.6,78.6
,25-39,,25.6,40.3,50.2,57.2,62,65.3,67.9,69.9,71.3,72.5
,40 or older,,19.8,31.8,40.3,45.9,50.4,53.5,55.8,57,58.2,59.1
,,40-54,20.6,33.3,42.3,48.3,53,56.3,58.7,60,61.2,62.2
,,55-64,13.6,20.2,25,28.2,30.6,32.8,34,35.4,36.1,36.3
,,65 or older,12.3,17.4,21,21.6,22.9,23,26.1,26.3,26.5,26.5
