"Table 8. Cumulative percent of state prisoners released in 18 states in 2008 who returned to prison for a parole or probation violation or an arrest that led to a new sentence, by sex, race or ethnicity, age at release, and year following release",,,,,,,,,,,,
Characteristic,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
,All released prisoners,,30.7,42.8,48.6,52.3,55,56.9,58.4,59.3,60.1,60.7
Sex,,,,,,,,,,,,
,Male*,,31.7,44.2,50.1,53.9,56.6,58.5,60,61,61.8,62.4
,Female,,22.9,31.6,36.3,39.3,41.5,43.6,44.8,45.8,46.5,47.2
Race/ethnicity,,,,,,,,,,,,
,White/a*,,28.6,40,46.1,50,52.8,54.7,56.1,57.2,58.1,58.7
,Black/a,,31.3,44.2,50.7,54.8,57.4,59.5,61.1,62,62.9,63.4
,Hispanic,,33.1,45,49.6,52.6,55,56.8,58.1,58.9,59.5,60
,American Indian/Alaska Native/a,,33.1,43.6,48,51.5,53.9,56.2,57.6,59.1,61.2,61.9
,Asian/Native Hawaiian/Other Pacific Islander/a,,37.8,48.5,52.3,53.1,55.1,55.5,55.5,55.7,56.9,58.8
,"Other/a,b",,30.9,43.1,49.5,50.5,55.7,56.6,59.1,59.8,59.9,62.2
Age at release,,,,,,,,,,,,
,24 or younger*,,34.3,48.6,55.3,59.4,62.7,64.7,66.5,67.6,68.5,69
,25-39,,31.6,44.3,50.2,54.3,57.1,59.3,60.9,61.9,62.9,63.5
,40 or older,,27.9,38,43.4,46.4,48.5,50.1,51.2,51.9,52.6,53
,,40-54,28.8,39.3,44.9,48,50.2,51.9,53.1,53.9,54.6,55.1
,,55-64,20.4,28.4,32.3,34.5,35.8,36.6,37.2,37.4,37.5,37.7
,,65 or older,25.5,28,31.3,31.8,32.1,32.5,32.6,32.7,32.7,32.7
